"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"RWBL",0.334240867039317,-0.239977179561025,0.368427433601892,-0.0172155242205501,0.13421911558829,-0.133732856963484,0.0108929024355945,-0.119795071015847,0.176952618350165,-0.0831501848546414,0.331341445558125,-0.134624001890633,0.138611660422578,0.677451057556894
"COGR",0.317561925341696,-0.356650985891458,0.243019974934308,0.139476229883843,0.0373665600757713,0.076802685961928,-0.0615946083089341,-0.0173652296496603,-0.09944363523503,-0.0806070991162776,0.384131145355663,-0.223802434150635,0.181994094311928,-0.659468842186455
"BHCO",0.256215144595781,-0.189097893601295,0.458158833158157,-0.00852163517655261,0.178435095121134,-0.262680789066754,0.0249864777109556,0.0151453588954228,0.131298755630705,0.0765864589496311,-0.467774911403747,0.304659467608431,-0.473835666097468,-0.166324439681654
"RTHA",-0.126327676883239,-0.342760769751219,-0.273541695499709,-0.258909593652185,-0.181422088519127,-0.339900573764303,0.0202903950500713,-0.569695391201489,0.102811914184197,0.396445911970962,0.0733721420732545,-0.205741088425806,-0.176684755857508,-0.0679426398309956
"OSPR",0.361734355523297,-0.0360850735092562,-0.0829630205124523,-0.0042209125144296,-0.214422185925301,0.599693384495712,-0.219121330471577,-0.513867393592286,-0.0641353897778086,-0.0662994877830636,-0.14135733841323,0.33043661296922,-0.013591617771347,0.0734752002336213
"RBWO",-0.383412125182969,-0.0969082826380625,0.349965086378574,0.03491754228101,-0.0379346471785745,-0.154597095664282,0.0556400955095802,-0.248539293458118,-0.0429779052200712,0.0749257784366192,-0.169750608355546,0.378786836928437,0.668054305484806,-0.0604149481087883
"NOFL",-0.00406474794388156,-0.370668102984049,0.0457375795652628,0.247124211760933,-0.756240780875366,-0.049395368878783,-0.166094683608566,0.359303926284713,-0.0348774619306593,0.0353328645044585,-0.191632102450253,-0.0877371192136134,0.00824618006645972,0.146444677647234
"HAWO",-0.382508389643431,0.0194703433039319,0.296313353683055,-0.0259985947138711,-0.0751044266829858,0.147178421145679,-0.0236628121764585,-0.293538106936206,0.161869985760058,-0.571850558869755,-0.219958131540518,-0.468981438590328,-0.166854766470524,-0.037727432821777
"DOWO",-0.415396426368963,-0.237500829498515,0.0428736104929272,0.0936558976089832,-0.049079824449494,0.0502363910381239,0.018219866335822,0.0107224147835721,-0.0676146658634993,-0.213944055206272,0.537140412587354,0.496096218375781,-0.41111788925099,0.0325135675029025
"MODO",-0.282414737662111,-0.259611158685324,0.159223108894146,0.00629245277942175,0.220185589036298,0.592154567221989,0.0612252739644657,0.185714657430877,0.315243411819207,0.515597945534788,-0.0371255521986102,-0.143640137279382,-0.0315933960734756,0.0430881322098802
"HOSP",-0.0590063713907248,-0.444692944505197,-0.109175648793282,-0.142931293441909,0.282464643483168,0.0923286204573184,0.165460089892284,0.0491537417250836,-0.73324438209284,-0.100679087606874,-0.24059458763302,-0.115158477349418,-0.00803249939098358,0.171226229181027
"EUST",0.0345169884216272,-0.294904098600765,-0.208862388397142,-0.67900348172219,0.0342670603335603,0.0157545812744217,-0.196438678124419,0.277729016363362,0.342991729041699,-0.314554380232592,-0.0564534908908385,0.169343040315819,0.186803668976108,-0.0817280161135856
"TUVU",0.102403102093641,0.211429171538308,0.304709928938876,-0.484141310125504,-0.397479163735134,0.14719317483004,0.620561484978264,0.0539801208488328,-0.1438190798663,0.0810601985373031,0.129918656087301,0.00432991512021042,-0.0572711840744027,-0.0497207936841343
"PIWO",-0.119058587757592,0.2455069239909,0.354450113429105,-0.354232895310728,-0.032225647434118,-0.020979221253347,-0.678713359567096,0.049007187063647,-0.343053310159759,0.24086912500324,0.129259132285452,-0.0873590966296898,-0.0963391624918843,0.0240655094212058
