city,geo_id,cty_twn,TOWN_ID,POP2010,POPCH00_10,Area_km2,Area_m2
ABINGTON,"2502300170",Abington,"1","15985","1380",26.39,26391975.70697
ACTON,"2501700380",Acton,"2","21924","1593",52.57,52572059.29269
ACUSHNET,"2500500520",Acushnet,"3","10303","142",48.89,48892226.53237
ADAMS,"2500300555",Adams,"4","8485","-324",59.46,59464454.20210
AGAWAM,"2501300840",Agawam,"5","28438","294",63.03,63026553.82455
ALFORD,"2500300975",Alford,"6","494","95",29.87,29872463.73758
AMESBURY,"2500901260",Amesbury,"7","16283","-167",35.54,35544777.22735
AMHERST,"2501501325",Amherst,"8","37819","2945",71.89,71885866.81907
ANDOVER,"2500901465",Andover,"9","33201","1954",83.28,83276069.32846
AQUINNAH,"2500701585",Aquinnah,"104","311","-33",14.96,14959611.11441
ARLINGTON,"2501701605",Arlington,"10","42844","455",14.20,14204586.32099
ASHBURNHAM,"2502701885",Ashburnham,"11","6081","535",106.06,106062616.11886
ASHBY,"2501701955",Ashby,"12","3074","229",62.35,62348952.49126
ASHFIELD,"2501102095",Ashfield,"13","1737","-63",104.24,104239277.19107
ASHLAND,"2501702130",Ashland,"14","16593","1919",33.34,33344584.61735
ATHOL,"2502702480",Athol,"15","11584","285",86.41,86412931.66800
ATTLEBORO,"2500502690",Attleboro,"16","43593","1525",71.92,71920105.98517
AUBURN,"2502702760",Auburn,"17","16188","287",42.52,42517391.21134
AVON,"2502102935",Avon,"18","4356","-87",11.76,11755611.97266
AYER,"2501703005",Ayer,"19","7427","140",24.61,24609652.50737
BARNSTABLE,"2500103690",Barnstable,"20","45193","-2628",162.21,162208092.75302
BARRE,"2502703740",Barre,"21","5398","285",115.58,115582851.91738
BECKET,"2500304545",Becket,"22","1779","24",123.79,123786009.42385
BEDFORD,"2501704615",Bedford,"23","13320","725",35.84,35842590.57067
BELCHERTOWN,"2501504825",Belchertown,"24","14649","1681",143.18,143176371.60851
BELLINGHAM,"2502104930",Bellingham,"25","16332","1018",48.92,48922755.94604
BERLIN,"2502705490",Berlin,"28","2866","486",34.12,34119756.48679
BERNARDSTON,"2501105560",Bernardston,"29","2129","-26",60.65,60647662.69895
BEVERLY,"2500905595",Beverly,"30","39502","-360",39.91,39914490.23540
BILLERICA,"2501705805",Billerica,"31","40243","1262",68.15,68151939.55520
BLACKSTONE,"2502706015",Blackstone,"32","9026","222",29.60,29604368.98478
BLANDFORD,"2501306085",Blandford,"33","1233","19",138.42,138416299.69013
BOLTON,"2502706365",Bolton,"34","4897","738",52.00,52001108.51214
BOURNE,"2500107175",Bourne,"36","19754","1033",106.41,106405421.02223
BOXFORD,"2500907420",Boxford,"38","7965","44",63.22,63220113.42984
BREWSTER,"2500107980",Brewster,"41","9820","-274",66.09,66089272.80780
BRIDGEWATER,"2502308085",Bridgewater,"42","26563","1378",73.45,73454477.99099
BRIGHTON,"2502507000",Boston,"49","617594","28637",129.53,129528615.93383
BRIMFIELD,"2501308470",Brimfield,"43","3609","270",91.48,91478573.17883
BROCKTON,"2502309000",Brockton,"44","93810","-494",55.73,55728186.80556
BROOKFIELD,"2502709105",Brookfield,"45","3390","339",42.95,42946874.76776
BROOKLINE,"2502109175",Brookline,"46","58732","1441",17.68,17677298.46462
BUCKLAND,"2501109595",Buckland,"47","1902","-89",51.48,51484758.92837
BURLINGTON,"2501709840",Burlington,"48","24498","1622",30.72,30724839.09699
CAMBRIDGE,"2501711000",Cambridge,"49","105162","3807",18.40,18401536.78174
CANTON,"2502111315",Canton,"50","21561","786",50.61,50611245.85739
CARLISLE,"2501711525",Carlisle,"51","4852","135",40.21,40208806.26034
CARVER,"2502311665",Carver,"52","11509","332",102.88,102880208.13875
CHARLEMONT,"2501112505",Charlemont,"53","1266","-92",69.01,69014335.13300
CHARLTON,"2502712715",Charlton,"54","12981","1718",113.42,113420169.07683
CHATHAM,"2500112995",Chatham,"55","6125","-500",44.14,44136410.12310
CHELMSFORD,"2501713135",Chelmsford,"56","33802","-56",59.79,59791767.70957
CHELSEA,"2502513205",Chelsea,"57","35177","61",5.73,5730356.60337
CHESHIRE,"2500313345",Cheshire,"58","3235","-166",71.27,71265810.97416
CHESTER,"2501313485",Chester,"59","1337","29",96.26,96261195.60821
CHESTERFIELD,"2501513590",Chesterfield,"60","1222","21",80.93,80930952.75830
CHICOPEE,"2501313660",Chicopee,"61","55298","645",61.83,61834323.50397
CHILMARK,"2500713800",Chilmark,"62","866","23",52.50,52498009.75106
CLARKSBURG,"2500314010",Clarksburg,"63","1702","16",33.13,33127859.62902
CLINTON,"2502714395",Clinton,"64","13606","182",18.81,18805915.53868
COHASSET,"2502114640",Cohasset,"65","7542","281",26.05,26051156.37126
COLRAIN,"2501114885",Colrain,"66","1671","-142",112.32,112318531.26165
CONCORD,"2501715060",Concord,"67","17668","675",66.90,66904547.71088
CONWAY,"2501115200",Conway,"68","1897","88",98.10,98099879.39482
CUMMINGTON,"2501516040",Cummington,"69","872","-106",59.75,59749314.19779
DALTON,"2500316180",Dalton,"70","6756","-136",56.64,56643496.45240
DARTMOUTH,"2500516425",Dartmouth,"72","34032","3366",160.46,160462386.13893
DEDHAM,"2502116495",Dedham,"73","24729","1265",27.67,27672448.97742
DEERFIELD,"2501116670",Deerfield,"74","5125","375",86.64,86641036.38639
DENNIS,"2500116775",Dennis,"75","14207","-1766",54.06,54064400.58275
DIGHTON,"2500516950",Dighton,"76","7086","911",57.42,57419832.38741
DOUGLAS,"2502717300",Douglas,"77","8471","1426",98.17,98170246.51689
DOVER,"2502117405",Dover,"78","5589","31",39.94,39939376.59786
DRACUT,"2501717475",Dracut,"79","29457","895",55.52,55520055.26822
DUDLEY,"2502717685",Dudley,"80","11390","1354",56.70,56695493.30705
DUNSTABLE,"2501717825",Dunstable,"81","3179","350",43.38,43384047.94392
DUXBURY,"2502317895",Duxbury,"82","15059","811",62.33,62329517.25635
E. BRIDGEWATER,"2502318455",E. Bridgewater,"83","13794","820",45.43,45430960.76540
EAST BROOKFIELD,"2502718560",East Brookfield,"84","2183","86",26.99,26994636.11436
EAST LONGMEADOW,"2501319645",East Longmeadow,"85","15720","1620",33.69,33690127.40849
EASTHAM,"2500119295",Eastham,"86","4956","-497",37.18,37181681.67909
EASTHAMPTON,"2501519370",Easthampton,"87","16053","59",35.24,35238489.83851
EASTON,"2500520100",Easton,"88","23112","813",75.72,75716226.01537
EDGARTOWN,"2500721150",Edgartown,"89","4067","288",69.17,69169812.37729
EGREMONT,"2500321360",Egremont,"90","1225","-120",48.91,48914905.27380
ERVING,"2501121780",Erving,"91","1800","333",37.25,37254364.22505
ESSEX,"2500921850",Essex,"92","3504","237",36.93,36925404.37583
EVERETT,"2501721990",Everett,"93","41667","3630",8.90,8897829.83392
FAIRHAVEN,"2500522130",Fairhaven,"94","15873","-286",32.14,32137068.59251
FALL RIVER,"2500523000",Fall River,"95","88857","-3081",99.82,99822246.77833
FALMOUTH,"2500123105",Falmouth,"96","31531","-1129",117.90,117900926.06628
FITCHBURG,"2502723875",Fitchburg,"97","40318","1216",72.82,72820587.05393
FLORIDA,"2500324120",Florida,"98","752","76",63.71,63707561.45175
FOXBOROUGH,"2502124820",Foxborough,"99","16865","619",54.00,54003444.96429
FRAMINGHAM,"2501724960",Framingham,"100","68318","1408",68.64,68643399.56067
FRANKLIN,"2502125172",Franklin,"101","31635","2075",70.01,70005451.45737
FREETOWN,"2500525240",Freetown,"102","8870","398",91.86,91861861.74750
GARDNER,"2502725485",Gardner,"103","20228","-542",59.60,59604761.19656
GILL,"2501125730",Gill,"106","1500","137",38.34,38340634.72492
GLOUCESTER,"2500926150",Gloucester,"107","28789","-1484",69.16,69155840.13419
GOSHEN,"2501526290",Goshen,"108","1054","133",45.84,45841161.01960
GRAFTON,"2502726430",Grafton,"110","17765","2871",60.36,60360387.47171
GRANBY,"2501526535",Granby,"111","6240","108",72.71,72713757.27756
GRANVILLE,"2501326675",Granville,"112","1566","45",111.68,111675922.49645
GREAT BARRINGTON,"2500326815",Great Barrington,"113","7104","-423",118.55,118552749.91220
GREENFIELD,"2501127100",Greenfield,"114","17456","-712",56.65,56647780.94632
GROVELAND,"2500927620",Groveland,"116","6459","421",24.34,24337540.04329
HADLEY,"2501527690",Hadley,"117","5250","457",63.75,63750714.26780
HALIFAX,"2502327795",Halifax,"118","7518","38",45.03,45032790.80836
HAMILTON,"2500927900",Hamilton,"119","7764","-551",38.60,38595408.46914
HAMPDEN,"2501328075",Hampden,"120","5139","-32",50.87,50867406.04192
HANCOCK,"2500328180",Hancock,"121","717","-4",92.50,92500117.45865
HANOVER,"2502328285",Hanover,"122","13879","715",40.48,40480821.21037
HANSON,"2502328495",Hanson,"123","10209","694",40.75,40751158.09171
HARDWICK,"2502728740",Hardwick,"124","2990","368",105.82,105815570.15783
HARVARD,"2502728950",Harvard,"125","6520","539",70.34,70336632.96022
HARWICH,"2500129020",Harwich,"126","12243","-143",58.28,58277862.90493
HATFIELD,"2501529265",Hatfield,"127","3279","30",43.57,43571466.47392
HAVERHILL,"2500929405",Haverhill,"128","60879","1910",92.45,92454249.75734
HAWLEY,"2501129475",Hawley,"129","337","1",79.09,79086500.84710
HEATH,"2501129650",Heath,"130","706","-99",64.52,64521017.07719
HINGHAM,"2502330210",Hingham,"131","22157","2275",58.76,58759631.48932
HINSDALE,"2500330315",Hinsdale,"132","2032","160",56.19,56188661.21450
HOLBROOK,"2502130455",Holbrook,"133","10791","6",19.07,19071865.60916
HOLLAND,"2501330665",Holland,"135","2481","74",33.80,33801230.40767
HOLLISTON,"2501730700",Holliston,"136","13547","-254",49.35,49347829.89654
HOLYOKE,"2501330840",Holyoke,"137","39880","42",59.05,59053171.47335
HOPEDALE,"2502730945",Hopedale,"138","5911","4",13.85,13852807.78556
HOPKINTON,"2501731085",Hopkinton,"139","14925","1579",72.14,72142201.06620
HUBBARDSTON,"2502731435",Hubbardston,"140","4382","473",108.75,108751837.73888
HUNTINGTON,"2501531785",Huntington,"143","2180","6",69.40,69398241.77118
KINGSTON,"2502333220",Kingston,"145","12629","849",49.21,49214186.75069
LAKEVILLE,"2502333920",Lakeville,"146","10602","781",93.56,93557489.27224
LANCASTER,"2502734165",Lancaster,"147","8055","675",72.48,72481468.36841
LANESBOROUGH,"2500334340",Lanesborough,"148","3091","101",76.63,76631229.31570
LAWRENCE,"2500934550",Lawrence,"149","76377","4334",19.24,19238165.51914
LEE,"2500334655",Lee,"150","5943","-42",69.97,69967514.78483
LEICESTER,"2502734795",Leicester,"151","10970","499",63.80,63803986.12551
LENOX,"2500334970",Lenox,"152","5025","-52",56.12,56118828.23241
LEOMINSTER,"2502735075",Leominster,"153","40759","-544",76.88,76877226.38763
LEVERETT,"2501135180",Leverett,"154","1851","188",59.46,59463524.26507
LEXINGTON,"2501735215",Lexington,"155","31394","1039",43.10,43096673.67661
LEYDEN,"2501135285",Leyden,"156","711","-61",46.76,46764475.35474
LINCOLN,"2501735425",Lincoln,"157","6362","-1694",38.80,38803200.16980
LONGMEADOW,"2501336300",Longmeadow,"159","15784","151",24.85,24851301.32987
LOWELL,"2501737000",Lowell,"160","106519","1352",37.63,37631030.78624
LUDLOW,"2501337175",Ludlow,"161","21103","-106",73.39,73390630.83380
LUNENBURG,"2502737420",Lunenburg,"162","10086","685",71.86,71855258.73025
LYNN,"2500937490",Lynn,"163","90329","1279",29.91,29911888.97553
MALDEN,"2501737875",Malden,"165","59450","3110",13.13,13127452.66277
MANCHESTER,"2500937995",Manchester,"166","5136","-92",20.16,20164784.27450
MARION,"2502338540",Marion,"169","4907","-216",36.57,36569297.73072
MARLBOROUGH,"2501738715",Marlborough,"170","38499","2244",57.23,57231186.69873
MARSHFIELD,"2502338855",Marshfield,"171","25132","808",73.96,73962105.31135
MASHPEE,"2500139100",Mashpee,"172","14006","1060",66.27,66274455.79151
MATTAPOISETT,"2502339450",Mattapoisett,"173","6045","-223",45.31,45306119.25638
MAYNARD,"2501739625",Maynard,"174","10106","-327",13.90,13904378.46651
MEDFIELD,"2502139765",Medfield,"175","12024","-249",37.96,37956903.15054
MEDFORD,"2501739835",Medford,"176","56173","408",21.88,21882051.95981
MEDWAY,"2502139975",Medway,"177","12752","304",30.22,30217172.71986
MELROSE,"2501740115",Melrose,"178","26983","-151",12.35,12349645.04176
MENDON,"2502740255",Mendon,"179","5839","553",46.58,46576597.05483
METHUEN,"2500940710",Methuen,"181","47255","3466",59.56,59556264.33893
MIDDLEBOROUGH,"2502340850",Middleborough,"182","23116","3189",187.02,187018664.63323
MIDDLEFIELD,"2501540990",Middlefield,"183","521","-21",62.49,62488516.09642
MILFORD,"2502741165",Milford,"185","27999","1200",38.91,38912326.02757
MILLBURY,"2502741340",Millbury,"186","13261","477",42.59,42594684.28936
MILLIS,"2502141515",Millis,"187","7891","-11",31.76,31764072.44819
MILLVILLE,"2502741585",Millville,"188","3190","466",12.74,12737421.83034
MILTON,"2502141690",Milton,"189","27003","941",34.47,34467969.52213
MONROE,"2501142040",Monroe,"190","121","28",27.94,27935882.30961
MONSON,"2501342145",Monson,"191","8560","201",116.00,115996380.56581
MONTAGUE,"2501142285",Montague,"192","8437","-52",81.44,81437452.04195
MONTEREY,"2500342460",Monterey,"193","961","27",70.98,70977720.25990
MONTGOMERY,"2501342530",Montgomery,"194","838","184",39.03,39027164.71750
MT. WASHINGTON,"2500343300",Mt. Washington,"195","167","37",57.99,57991808.54311
NAHANT,"2500943580",Nahant,"196","3410","-222",3.25,3249487.83174
NANTUCKET,"2501943790",Nantucket,"197","10172","652",126.66,126655896.91118
NATICK,"2501743895",Natick,"198","33006","836",41.34,41340573.47156
NEEDHAM,"2502144105",Needham,"199","28886","-38",32.95,32945781.65133
NEW ASHFORD,"2500344385",New Ashford,"200","228","-19",34.90,34897113.16536
NEW BEDFORD,"2500545000",New Bedford,"201","95072","1304",52.52,52520839.38383
NEW MARLBORO,"2500345420",New Marlboro,"203","1509","15",124.06,124060026.75031
NEW SALEM,"2501145490",New Salem,"204","990","61",152.01,152006472.67304
NEWBURY,"2500945175",Newbury,"205","6666","-51",62.63,62626436.33553
NEWBURYPORT,"2500945245",Newburyport,"206","17416","227",22.64,22644014.92557
NEWTON,"2501745560",Newton,"207","85146","1317",47.02,47022251.44717
NORFOLK,"2502146050",Norfolk,"208","11227","767",39.88,39878064.77692
NORTH ADAMS,"2500346225",North Adams,"209","13708","-973",53.39,53392889.29415
NORTH ANDOVER,"2500946365",North Andover,"210","28352","1150",71.79,71789131.13857
NORTH BROOKFIELD,"2502747135",North Brookfield,"212","4680","-3",56.84,56843163.77851
NORTHAMPTON,"2501546330",Northampton,"214","28549","-429",92.59,92593444.75186
NORTHBOROUGH,"2502746820",Northborough,"215","14155","142",48.55,48548069.48015
NORTHBRIDGE,"2502746925",Northbridge,"216","15707","2525",46.75,46752004.70954
NORTHFIELD,"2501147835",Northfield,"217","3032","81",91.61,91614203.10901
NORTON,"2500549970",Norton,"218","19031","995",75.93,75927853.21322
NORWELL,"2502350145",Norwell,"219","10506","741",54.98,54978476.80119
NORWOOD,"2502150250",Norwood,"220","28602","15",27.32,27320168.36488
OAK BLUFFS,"2500750390",Oak Bluffs,"221","4527","814",19.18,19178616.79514
ORANGE,"2501151265",Orange,"223","7839","321",93.27,93272038.88485
ORLEANS,"2500151440",Orleans,"224","5890","-451",37.73,37727395.78525
OTIS,"2500351580",Otis,"225","1612","247",98.57,98568456.72405
OXFORD,"2502751825",Oxford,"226","13709","357",71.03,71030795.70544
PALMER,"2501352144",Palmer,"227","12140","-357",82.88,82876060.43683
PELHAM,"2501552560",Pelham,"230","1321","-82",68.76,68759119.79482
PEMBROKE,"2502352630",Pembroke,"231","17837","910",61.01,61011824.42412
PEPPERELL,"2501752805",Pepperell,"232","11497","355",60.06,60063616.82779
PERU,"2500353050",Peru,"233","847","26",67.44,67435741.79110
PETERSHAM,"2502753120",Petersham,"234","1234","54",176.76,176760303.14393
PHILLIPSTON,"2502753225",Phillipston,"235","1682","61",63.82,63816936.90945
PITTSFIELD,"2500353960",Pittsfield,"236","44737","-1056",109.98,109980404.49778
PLAINFIELD,"2501554030",Plainfield,"237","648","59",55.30,55304276.98570
PLAINVILLE,"2502154100",Plainville,"238","8264","581",29.78,29775587.78002
PLYMOUTH,"2502354310",Plymouth,"239","56468","4767",266.20,266199870.25606
PLYMPTON,"2502354415",Plympton,"240","2820","183",39.12,39123546.55302
PRINCETON,"2502755395",Princeton,"241","3413","60",92.80,92797618.68457
PROVINCETOWN,"2500155500",Provincetown,"242","2942","-489",27.05,27047411.43887
QUINCY,"2502155745",Quincy,"243","92271","4246",44.84,44843212.01173
RANDOLPH,"2502155955",Randolph,"244","32112","1149",26.98,26975608.60938
READING,"2501756130",Reading,"246","24747","1039",25.88,25875768.66124
REHOBOTH,"2500556375",Rehoboth,"247","11608","1436",122.96,122963795.48961
REVERE,"2502556585",Revere,"248","51755","4508",15.96,15962435.78081
RICHMOND,"2500356795",Richmond,"249","1475","-129",49.28,49284967.27763
ROCHESTER,"2502357600",Rochester,"250","5232","651",93.32,93320875.70783
ROCKLAND,"2502357775",Rockland,"251","17489","-181",26.21,26210877.95980
ROCKPORT,"2500957880",Rockport,"252","6952","-815",18.17,18173894.13699
ROWE,"2501158335",Rowe,"253","393","42",62.16,62163027.81713
ROYALSTON,"2502758580",Royalston,"255","1258","4",110.19,110187785.59642
RUSSELL,"2501358650",Russell,"256","1775","118",46.37,46369852.36517
RUTLAND,"2502758825",Rutland,"257","7973","1620",93.92,93920640.54183
SALEM,"2500959105",Salem,"258","41340","938",21.61,21609833.13794
SALISBURY,"2500959245",Salisbury,"259","8283","456",40.92,40923004.90132
SANDISFIELD,"2500359665",Sandisfield,"260","915","91",137.16,137158006.73033
SANDWICH,"2500159735",Sandwich,"261","20675","539",113.77,113765021.70794
SAUGUS,"2500960015",Saugus,"262","26628","550",29.37,29372692.95768
SAVOY,"2500360225",Savoy,"263","692","-13",93.32,93322731.51612
SCITUATE,"2502360330",Scituate,"264","18133","270",44.87,44865517.17664
SEEKONK,"2500560645",Seekonk,"265","13722","297",48.29,48287361.73353
