"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"RWBL",0.365447571931896,-0.26203485667526,0.284905984482346,-0.0833837647938784,0.333778455312183,0.0114711994899933,-0.0134159558370826,0.00732698244315291,-0.0964307872213102,-0.019187880935368,-0.225867283025868,-0.211437068619493,0.281597013711512,-0.642808371509026
"COGR",0.365531495723551,-0.390677436875026,0.0817589718859168,0.0904659091104548,-0.034195254264586,0.0370424041648071,-0.0627083083552993,-0.114300220566885,0.106574710495026,-0.148704848548115,-0.0924940017893276,-0.293977477803856,0.359236547399194,0.649500448473948
"BHCO",0.299481536176864,-0.249539773461821,0.376050481189648,-0.016654454201002,0.344674683732367,-0.0703233335454429,0.108792039772671,0.0158441375338868,-0.0370675301853983,0.176185825069402,0.105771332581826,0.271951529235423,-0.639412307733623,0.210018730504539
"RTHA",-0.211808214705054,-0.139897491621127,-0.305878372786451,-0.327821367566982,0.445589982791735,0.499324012418848,0.0956907515405066,-0.279667564512268,-0.267354628026286,-0.196059360266728,0.226950618937753,-0.167582152973734,-0.0709529017005029,0.0689168322694758
"OSPR",0.357107387366799,-0.00422187884159557,-0.0751739031338583,0.0166841297342474,-0.447605881413841,0.457353373103985,-0.292360389247627,-0.493254576510058,0.0274580412270996,0.0873887199444108,-0.126712978417137,0.185473984902175,-0.20371919161721,-0.166973611403684
"RBWO",-0.363114066122389,-0.194261773740502,0.294708668604732,0.0899381628673253,0.130448262268206,0.2382768412664,0.119968108742511,-0.154400697357381,0.202980970067294,-0.0184580333596919,-0.146732778171201,0.64282261814002,0.381821834565164,0.0369137907324999
"NOFL",-0.00307732463791608,-0.379167917714176,-0.103855833278912,0.283505565485989,-0.360684674189047,0.077029775764401,0.738632199846835,-0.0104721007956197,-0.0706931476332591,0.0595421407889424,0.179094185024223,-0.10006582362392,-0.0490285074691093,-0.174103676076238
"HAWO",-0.32946263114191,-0.0715144508252546,0.367247910825895,-0.0234287435057231,-0.0756305038456433,0.130745041197181,-0.182157247604054,-0.118971288404249,0.00224214999502168,0.689740349864292,0.23829462862909,-0.375763882999147,0.0794730845709233,0.0269236013251147
"DOWO",-0.418818189841204,-0.254226880349071,0.0291997647819911,0.0519393345466606,-0.0515558372315268,0.0146116071474096,-0.0464725363062681,-0.000170389688664251,0.0545563455953383,-0.120962067085746,-0.713366285438832,-0.275701095749184,-0.385577833166176,0.0140511211150567
"MODO",-0.179222150740227,-0.368028741528854,0.222788360960318,0.0368125640861494,-0.299204378386396,-0.0610243700098313,-0.397655830411411,0.200958513170011,-0.513902044383002,-0.35893051126355,0.280326308295238,0.11781408900198,-0.0205640080580536,-0.0622127794606499
"HOSP",-0.0513056414885793,-0.429651134838921,-0.238048614726835,-0.211285481171312,-0.022345976785577,-0.0289294368195516,-0.228681257507019,0.185299322896228,0.699377774203862,-0.0585694310066729,0.290654212713949,-0.000781742785452158,-0.104820641708748,-0.188319477603219
"EUST",0.0224928310137647,-0.251855803369253,-0.239670406912098,-0.64542836469335,-0.179223231701467,-0.362512486840872,0.0919207017655628,-0.0909428631929296,-0.241851833804058,0.32587554866149,-0.21020532724232,0.224655909191495,0.13023617437954,0.074037546580502
"TUVU",0.0992786300029643,0.181539674533953,0.307318016280792,-0.470434047349927,-0.256817461449444,0.475124463291858,0.199785571109453,0.528737418983399,0.070803605640374,-0.0849976711606736,-0.0873137493244454,-0.0448427203295221,-0.00598085599705497,0.0913808605620475
"PIWO",-0.0991291227308409,0.170777111850518,0.424224515922183,-0.318193213963413,-0.161658878844922,-0.305479417120607,0.187938434227409,-0.514256017861841,0.199565106266388,-0.400575438905147,0.165905965876016,-0.160074988768421,-0.0684315767794365,-0.0494497045084381
