"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"RWBL",0.275996127661505,-0.146385867577378,0.0698966266797505,-0.592242374335107,0.160895435011257,-0.0254836413822925,0.116551689471139,-0.280859752861961,0.450115590979961,-0.154270378057538,-0.319894771344759,0.0282126616209431,-0.114944511839681,0.291570297231364
"COGR",0.348396349459949,-0.265613209024957,0.360371425139506,0.129121736774383,0.0649251492783385,-0.0381111982628387,0.116241301685068,0.118855355257532,0.10671812167532,0.047913938178001,-0.244477191944315,0.287211488704398,0.456212563341016,-0.513954573125356
"BHCO",0.343849415021189,-0.0674223125458287,0.232576191969089,-0.255372976131328,0.307212198207247,-0.156455982225801,-0.0146402938437432,-0.212893720730311,-0.706538928349375,0.0610535245139307,0.221098502964532,-0.163337407048223,0.076882664562942,0.09549604770041
"RTHA",0.221387162671242,-0.131315743359893,-0.398557314242944,-0.425862334103506,0.0104489769382042,0.13116265552079,-0.00856929419528761,0.588708606575742,0.0662313035476594,0.325682827424274,0.317710900392636,0.0621701797337604,0.119285853991696,-0.0090998756176108
"OSPR",-0.016732322656021,-0.27115167043423,0.57813747013127,0.0934159170976229,-0.158414145479046,-0.115507904676313,0.243769302557247,0.39157686907185,0.141937662792407,0.123839101326388,0.121953051751039,-0.397108362063086,-0.296719065112048,0.189583948374523
"RBWO",0.270403102230918,0.429849961295999,0.0320332902641157,-0.0895046006020147,0.0305628653488111,0.107328010188643,-0.059804827394256,0.198787917250423,-0.151671704526939,0.137138264956605,-0.400108860694631,-0.047155249335903,-0.575911399695252,-0.376472384133557
"NOFL",0.296572841244423,-0.109406063047741,0.166205428066172,0.239112127322418,-0.0245334771804442,0.787398455562572,-0.302742739585636,-0.0433916489150126,-0.0149584869328501,0.00880839728647868,0.021119255882125,0.0799117623503192,-0.0234490825240038,0.305710111322445
"HAWO",0.190664479250413,0.418436679429953,0.141034469504023,-0.0340338573571501,-0.00436791802606763,-0.0249110594794135,0.0894948387156621,0.352389563285349,0.011118975026374,-0.739564012731878,0.22411341977193,0.121325929818719,0.112109829803148,0.100436178357265
"DOWO",0.330411793781052,0.346756147452496,-0.139702993378381,0.114144507022416,-0.147939237232915,0.0239406797446679,0.0589511366819642,-0.146312010042282,0.213377307536093,0.12507876675431,-0.0295166487732267,-0.686149813473749,0.396385563838696,-0.0270522358577222
"MODO",0.375746241380889,0.200332489164298,0.0900169227906453,0.183286593866972,-0.113105354122768,-0.311231963164424,-0.128236382136668,-0.268392879659224,0.305472151515528,0.262388126636448,0.495977900625154,0.338374002131844,-0.236890697383214,0.00884083289936123
"HOSP",0.328302419687094,-0.164268324377939,-0.250749264476367,0.237990662163817,-0.366737792696002,-0.385257258378617,-0.132121042486107,0.185391401594401,-0.220645244198847,-0.0280826322226434,-0.412658759999016,0.119940814164371,0.0207990583148589,0.419993303030075
"EUST",0.176355286292239,-0.321580184110617,-0.205176742054432,-0.0966766317798703,-0.55959921361591,0.178404020410796,0.332229850177611,-0.253598550073662,-0.148111339473901,-0.286136471424067,0.188897097101084,-0.0609297341225369,-0.216242810782063,-0.323119809168139
"TUVU",-0.175627142255832,0.0669727612892868,0.315898368192406,-0.414794815434472,-0.506722583418329,-0.0666846543692303,-0.62416713538142,-0.0129955498391581,-0.0190296822416717,-0.00472227838274347,-0.00560288481030856,-0.0373509213212473,0.159987112197818,-0.120201218377985
"PIWO",-0.131944961289021,0.38160433616555,0.192714314109611,-0.162075085429903,-0.331155950632308,0.169119051820252,0.522126658343728,-0.0623402052185837,-0.170583786488316,0.340228281021567,-0.0978514702829852,0.316785372685433,0.199135712587606,0.253685682944946
