"actual_city_town","year","season","week","ncom","date","ncom_rank","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14"
"Abington",2016,"winter",1,0.213316700452206,2016-01-04,4,-1.74264619312011,1.1095267044009,0.728220283249438,1.32757568959513,0.265976731080064,0.926942015790799,0.227153179284406,-0.502287175294714,0.37563911118822,0.790915305824644,-0.124986970379861,-0.223015382729975,-0.233123536899871,0.0360985917078543
"Abington",2015,"summer",27,0.0845782005301731,2015-07-06,3,0.0978527355675127,0.612525579593897,1.45690291910068,1.11349982954661,-1.24678380550747,-0.0559667446107394,2.50989769554457,-0.247242221740031,1.74132757642832,-0.380556317961408,-0.0958517096203856,1.30053300807611,-1.04415935124977,-0.258974284073028
"Adams",2018,"summer",25,0.0140992167101828,2018-06-18,1,0.881828110108377,2.75622550392189,1.67646176952951,-2.89628103473549,0.972358592104484,-1.98230617732879,2.16872218009297,-1.42115976643919,1.67302724828931,0.72050557203098,-0.969013702179592,0.627664451741763,-1.18229685959025,0.980179695115144
"Billerica",2018,"spring",19,0.0555683433755331,2018-05-07,2,-1.60388117675933,0.421713529316931,-1.03684664076243,0.426771675123132,0.692690040816233,0.0775566589530667,0.166975126793604,0.285780386365078,-0.00937799534279823,0.392103251201034,0.0835221942670986,-0.0881315922929915,-0.238849743533784,-0.796200296409241
"Worcester",2013,"summer",30,0.0328905755850727,2013-07-29,2,-0.154581447637801,-0.836109843025356,-2.36334868753057,-0.519462256462285,1.66546931678443,2.4266149861437,1.0153200592155,-1.73466230719756,0.230710126549509,1.77937527777093,0.742841878639045,-0.25520409985789,-0.751645151535138,1.53195945701184
"Worcester",2016,"summer",30,0.0593632721905967,2016-07-25,2,-0.413921257891986,2.13965208708558,1.7847013985841,-0.0948992074181633,-0.0816779707827395,-0.748182047445403,0.395554044744725,-0.123961747065592,0.584068137410871,-1.37141839060689,0.860355761163575,1.07939505577517,0.369613366134438,-0.124844469966842
"Worcester",2017,"summer",30,0.18494623655914,2017-07-24,4,-1.13800832600774,0.6850830469565,-1.81005416345486,1.27257778145834,0.0823096047593629,-0.153095450668921,0.710066949770934,0.538770112888304,-1.05712333114147,-0.34749601327132,-0.0274369339431572,0.494808259011514,-0.360679395183924,0.085464340687007
"Worcester",2015,"summer",31,0.0734471853257432,2015-08-03,3,5.86548729651678,3.78569274898253,-0.0192591214241341,-0.990907795596159,-0.644761306705435,1.40793960029015,0.486572397463077,0.488798513324418,0.375711927368779,0.916692613720085,-1.25979881572523,-0.151018585093271,1.03025033741331,-1.09130685821653
"Worcester",2016,"summer",31,0.051056293485136,2016-08-01,2,1.83300526772318,1.93882940499763,-0.629705998429331,1.00425135017471,1.0643668414123,0.764727225305593,0.470607381796283,-0.320073875161266,0.200721862251353,0.669954134627116,-0.516571776101649,-0.578616276863222,-1.04579934711038,0.390782340198472
"Worcester",2018,"summer",31,0.0241197554290533,2018-07-30,1,1.11614742520514,-1.59721156074302,-0.819824153736521,1.24452072587608,0.308277805290673,0.467623970353744,0.80674664124372,0.915771498147147,-0.00957683315425703,-0.760813429622512,-0.0641662060076398,-0.966248465151656,0.730728286592468,-0.0292211762306599
"Worcester",2016,"summer",32,0.60326375711575,2016-08-08,6,3.28605264439131,0.514687123846108,-0.364775693800142,0.0308113295904595,1.88622885529492,2.6285205767157,-1.42589583016387,-0.606453700067295,-1.93735456399415,-0.526922214033472,0.901878041062663,0.20740600702821,0.104059696289502,-0.769386946109946
"Worcester",2018,"summer",32,0.143925785367911,2018-08-06,4,1.14749268727978,2.52022663687597,1.71269125627285,-0.215420074420025,-0.819749449268121,0.466133564415421,0.497325286181267,0.541715148034904,-0.494281879444493,-0.561041360147387,0.405894281122043,0.430801340341124,-0.151929274099465,-0.531680156911512
"Worcester",2013,"summer",33,0.0425890786422096,2013-08-19,2,1.11360612256714,-0.757108482355637,-0.661185841768617,0.558034899968845,-0.502774880610791,-0.517192426707985,-0.0732644010618966,1.04430007313592,0.419979134805792,0.604343813254036,0.245350735998168,-0.770181803040671,0.528629961943031,0.359983114978196
"Worcester",2015,"summer",33,0.0266076323002319,2015-08-17,1,0.292145443409974,-1.99674217174067,2.37769444839953,-2.45841800880535,-0.508211190141517,1.5063196333668,0.524868149410845,-0.0176646445264319,0.36016484295875,0.160354162855969,0.246376036574858,-0.0790727597128093,0.0394829491431297,0.770249310142137
"Billerica",2015,"spring",20,0.013404644235326,2015-05-18,1,-1.89080449072496,2.25906024166886,0.974300297411986,0.565738813196615,-0.169864764615912,-1.0791710858141,-0.503165815540119,-0.802613532922938,0.144620532462548,-2.12700414221122,0.47491652113321,-1.20513436923633,-0.862169233997782,-0.370844613960615
"Worcester",2017,"summer",33,0.00394686907020873,2017-08-14,1,3.08340550567203,0.189188754787914,-0.552940288783241,-0.183900522634147,1.20165525898133,1.58472806231591,-0.368517869534206,-0.162081894532081,-1.94308775798127,-0.667907079285049,0.701652125095156,0.577769388095249,-0.7295648018921,-0.382028575607165
"Worcester",2016,"summer",34,1.13924520345773,2016-08-22,6,-0.186923000420354,-3.96191780506198,-0.695899440134784,-0.12812182538256,-1.80303312983581,0.0708895477538967,-0.239024858822274,1.08452322538497,0.590042161605654,-0.0913871368851946,-1.32866976333934,0.352752195818397,0.359011217887029,-0.0659550736158088
"Worcester",2015,"summer",35,0.0750073792958043,2015-08-31,3,-1.05234727164282,-0.462411327126168,-1.0383743067967,0.928906906510549,-0.63713331867311,-0.657462213894918,0.242215011918116,0.870446407455743,-0.8308080425292,-0.433320367296488,-0.570681197486844,-0.356522662417949,-0.2050159923176,-0.261922149396665
"Worcester",2016,"summer",35,0.0141260805397428,2016-08-29,1,-3.16889985599279,0.132851588574267,2.17480375686849,-1.5102679749267,0.116274725248441,-0.889517996028215,-1.45888314099434,-0.552862996721682,0.254644831344895,0.24696659964291,-0.102521393753588,0.993211031676404,0.226298565526505,0.245434437785222
"Worcester",2017,"summer",35,0.00801180687328695,2017-08-28,1,4.81914801950009,0.318810207203461,1.47797728491537,-1.67115541219256,-1.51657837693132,2.22195965227482,-1.56122062633643,2.25888004452717,-0.343958733091276,-1.80331077920332,-0.55950567190167,0.328420501306794,0.0178788176344897,-0.0672038991597426
