"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"RWBL",-0.0627009145091797,0.14659447350934,-0.259560698406011,0.711731004102084,-0.242834647458391,0.159400358043776,-0.0941532083609276,-0.13091949937472,0.314011951445193,-0.0100318311161577,0.281216479842288,0.000506044340609888,0.0290980784770304,-0.33411104308952
"COGR",-0.445045252815077,-0.0612486936050621,-0.200844496184486,0.352311989634417,0.0556722819649237,0.0355640219527906,0.0431920076082645,-0.175554583939305,-0.241290324868637,0.164927517858212,-0.0958009927259226,0.050613350786654,0.127661987198135,0.695135005022848
"BHCO",0.136578013144664,0.234633190661529,-0.471334716190062,0.053037722679561,0.311658565143589,0.365326594633553,-0.0857613046329493,0.508526436456671,-0.211010795635635,-0.234585358817942,-0.238402387000833,0.170977444794723,0.128512008457382,-0.0513362446071713
"RTHA",-0.332921524700489,-0.039210217331743,0.293087820519576,0.0991702007454772,-0.212421699241048,0.224875249679783,0.483263590263266,0.519014742002178,0.258422281235921,0.0884558139741098,-0.258180256002544,-0.226537665962098,0.00176143296381489,-0.0263209779107387
"OSPR",0.0304966693245785,-0.363191009350584,-0.129095594439355,0.1777764310249,0.428772983131777,-0.262769934210955,0.605213448370503,0.0147940710031638,-0.149856014111528,0.0833919696602516,0.215930633333291,0.236674231424515,0.0249435856787123,-0.258498862034773
"RBWO",-0.13322227711126,0.468543641390511,-0.127297803307308,-0.158571633802038,0.0173381848905123,0.172837687385111,0.274713227203891,-0.136980544476836,-0.0483037606899829,0.14528047680394,0.118489772766826,0.166154841345103,-0.728886342089774,0.0245408668038515
"NOFL",-0.313654022243923,0.0503021740562157,-0.268114056862993,-0.343919283892117,0.417976135633164,0.124163188495957,0.0629140499996561,-0.277623379488912,0.587097820780807,-0.0835134668371529,0.00570513770414503,-0.181210454786696,0.23003879754534,-0.0180494384246567
"HAWO",0.0707226910116737,0.477837204937417,0.0872672724511674,0.0217402500951477,0.109065426677627,-0.211444117388068,0.16827275416922,0.181729821054489,-0.170264585443414,-0.153725419071459,0.527967973140056,-0.476638034520108,0.21998845598225,0.183537218581515
"DOWO",-0.298948219985966,0.359799432558758,0.152708322772761,-0.201518336084689,-0.246814520961225,-0.0701102132024806,0.0905183407927976,-0.0295805101731197,-0.073043678301352,0.0151941826920384,0.0907782107109047,0.614115771640135,0.477774789169709,-0.152084109327526
"MODO",-0.192078267346194,0.332664278098929,0.00565666778841178,0.214333224841919,0.186433040176875,-0.664146964549586,-0.12151068577087,0.0240001922640651,0.0465480869863308,-0.0360411948708254,-0.507669895822107,-0.0741474696161229,-0.117992566383503,-0.186187687367573
"HOSP",-0.436274302480446,-0.0640606896376663,0.164511124010262,-0.0110103107034849,0.118562981564559,0.292625298309292,-0.105184344921014,-0.242601966945595,-0.539224067812616,-0.124311476594708,-0.0367614464050193,-0.309698235880934,0.00951434865967435,-0.452988691891436
"EUST",-0.23733086111783,-0.0733539163666876,0.47249764670729,0.160058448178878,0.442753451556653,0.0565001216080757,-0.377595793788666,0.266289339375285,0.179963997258642,-0.132125451366099,0.301781447794455,0.284553248972469,-0.21042496734209,0.102682121890212
"TUVU",0.297647605959815,0.1514319593997,0.358312932011849,0.229786685862954,0.108067315785321,0.202964919385005,0.309864759191711,-0.38870509027069,0.0524394375064947,-0.545202200677806,-0.267853043541232,0.106351397454359,0.0444883246076787,0.14924023829902
"PIWO",0.291435851147171,0.251657635178669,0.264204080901252,0.126786239042351,0.327857682651745,0.232862815628821,-0.0415864923574607,-0.112578156429864,0.00150003695297862,0.720757355018178,-0.136601679520437,-0.0491128001493711,0.21115783899962,-0.0676968982890669
