"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"RWBL",-0.0797556688963018,0.0486076894900003,-0.687962274080009,0.00978052618608508,-0.000686431875117236,0.0270402978957223,-0.059769305973363,-0.0424119881507108,0.248645423701733,0.0104287399947953,-0.42931002157014,0.126802227108381,0.258817742047418,-0.427176722929369
"COGR",-0.447523697305021,0.133972412285409,-0.19722163899413,-0.104428627641443,0.117625029254909,0.117106224471746,-0.261026509834971,0.0881548565107309,0.15678216659285,-0.0202576210288525,-0.107951594673416,0.317233316868023,-0.0752946393059976,0.696825488379142
"BHCO",-0.0769502269384796,-0.178082468764787,-0.625513047321967,0.00752319744906545,-0.0585977758924831,-0.172544528554106,0.231212872553511,0.137506273916147,-0.269338367544403,-0.0370571098272333,0.30623362591681,-0.332539431952364,-0.41241010363302,0.130803126508671
"RTHA",-0.19288122222115,0.208004731290614,0.0343772937684974,0.361006080597188,0.522696563362736,-0.528557809602927,0.0639142801301551,-0.0421948647122992,-0.0779344236159271,0.42349760605268,0.0761184130251022,0.162898974231343,-0.0261997251646646,-0.10551146450324
"OSPR",0.053204382026469,0.393958803253776,0.0116824061586549,0.0657288257848312,0.536922474154776,0.447093005440066,-0.0863052476171367,0.372722732085294,-0.059321123199329,-0.24112509569396,-0.0418569097236425,-0.259352210877536,-0.20188386872698,-0.177559269856928
"RBWO",-0.18974983639997,-0.462961934291855,0.00648005783912062,-0.0520528771254828,0.362248388331433,-0.101334806510541,-0.115133282285567,0.135827182976369,0.221550875258183,-0.196717673721221,0.277483219558198,-0.321618482427018,0.550443230136633,0.050066467537169
"NOFL",-0.371263126585889,-0.071028523882333,0.180874434566357,-0.0594595191394723,-0.142699363464995,-0.0401788606557606,0.5910011859377,0.569485535509177,0.0859118781619566,-0.116877319320621,-0.0805120605139869,0.269088528802563,0.0100500439463868,-0.15893718205747
"HAWO",-0.00780677098393578,-0.466722333257595,0.0190394912807461,0.125349905281456,0.292565857485467,0.142417294182635,0.0956619690942948,-0.179425780795061,-0.597805715264877,-0.214894006288045,-0.394399893201129,0.238029659276426,0.0111488499274643,0.0541029457679572
"DOWO",-0.381181983907496,-0.232526985497265,0.235670959490668,0.00377358113577978,0.00926491915515022,-0.111994892313252,-0.0824127838634167,-0.20855141840727,0.314843511573526,-0.00767872913292569,-0.416264061840839,-0.414704852494207,-0.47308788236341,-0.117935454552185
"MODO",-0.295391504596266,-0.24857408089583,-0.000306179174789808,0.115401054497285,-0.0912796276317678,0.570641330450516,-0.10573853562321,0.0450245430304666,-0.101593123499639,0.637298437016986,0.209154947606924,-0.00477408000379955,0.00813655332516782,-0.173668345847899
"HOSP",-0.413127590261349,0.111744180958881,0.00622265165510446,0.18796417108175,-0.0931129431230874,0.0712092804960111,-0.122827752692234,-0.369837028785903,-0.0273941923732325,-0.487920904584383,0.446692068159495,0.256503978637799,-0.100430094689424,-0.318796431982887
"EUST",-0.204535218219201,0.240358750368302,0.0322760169912826,0.611573809901693,-0.366960070974317,-0.0180517907224301,-0.0369893938397293,0.100973803843802,-0.231977345528499,-0.0887036973217109,-0.204711873068994,-0.365823414438434,0.329228730435099,0.181582353256402
"TUVU",0.270205830414062,-0.143685326642066,-0.0735425217192657,0.524938014970423,0.121016478796692,0.270722896336493,0.423829964694271,-0.202910429698183,0.492415217010849,-0.0467671390223119,0.0695911827899234,0.0847261104803003,-0.0894942833976209,0.22791220534589
"PIWO",0.235431541730503,-0.324861256370837,0.00876189059962608,0.366189272315706,-0.132885085913204,-0.165801561220533,-0.526831344075411,0.471374834865855,0.105533354046997,-0.088022387872386,0.0194591296624002,0.259989257044746,-0.249479643777413,-0.10427512563773
