"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"RWBL",0.310519202297696,-0.241760586223663,0.359020015468491,-0.278068880008139,0.0163389188870411,-0.315208777794946,0.0715280683008582,-0.107687459712639,0.0935438973984455,-0.00707064101856374,0.161329280640069,-0.0277710047963641,-0.0079565813044919,0.697791842617425
"COGR",0.260068267297293,-0.354000615519613,0.340962362819081,-0.135973935048768,0.0464340180629962,-0.322064604641358,0.143823622866969,-0.0589447597241036,-0.239078360299033,0.227323076524752,-0.014216100201273,-0.174747014603551,0.189715991722552,-0.605555408099134
"BHCO",0.360717202458053,-0.00404382951166415,0.268593304572875,-0.0704751586196362,-0.127628722711701,0.0666880880307393,-0.325524761131766,0.0630469941883722,0.415098137260517,-0.584500939925403,-0.196182447792145,0.10643535573834,-0.166237131646407,-0.265859580372534
"RTHA",-0.0368217193407048,-0.419595036440456,-0.198533484030041,0.0132092213085466,0.439875901909315,0.217801520886487,0.473794680764024,-0.13659580198623,0.521713706626483,-0.0632770550605773,-0.068405744911789,0.0618314576759258,0.106269770706863,-0.0542318883007015
"OSPR",-0.248190575631861,0.0796076776699049,-0.0620636673906323,-0.243817696566027,0.666980953342023,-0.328032906205441,-0.41906166510674,0.30002043040704,0.0340877329935647,-0.0952577362264304,-0.0438355501631078,-0.140473107947598,0.13703773779473,-0.00117021811217594
"RBWO",0.374292296933368,0.132192252611776,-0.242617999676972,-0.15920602357688,0.0928708999350444,0.181728978110609,0.201662381791932,0.13577665694047,-0.163851056431946,-0.0505547040080469,-0.327808140628105,-0.663803723492208,-0.268557515039531,0.0885852397183927
"NOFL",0.0834159475206262,-0.359490784917304,-0.296275802806013,-0.357749405339739,-0.242725714359718,0.108591147542318,0.0628179211763944,0.648348762563201,-0.18136277338935,-0.0649865950630388,0.011024027933907,0.313566526896591,0.128351141317951,0.0316057505286502
"HAWO",0.371070161715984,0.319675342674826,-0.0887092449274682,0.0791718382571269,0.00710709802636007,0.160186087737078,0.00146305180624295,0.015628790920418,0.06147489233218,-0.11491000635753,0.292688885372889,-0.126528351744986,0.775103066168545,0.0240034276667986
"DOWO",0.361444761484148,0.0674555193645701,-0.353907987582445,-0.0739270383257314,0.155763565867311,-0.0858478019259477,-0.103627343409112,-0.0603191714119309,0.0876039457628875,0.144892068110989,0.656303605003447,0.109114647020537,-0.425732594555584,-0.188481753564933
"MODO",0.378547519318587,0.066247910710564,-0.239931042529573,0.0122545646763101,0.0448727902080272,-0.0885913203324121,-0.274697247970891,-0.141901469817698,0.140753682922073,0.5159905344441,-0.52518024572402,0.335097032387915,0.10019112921573,0.070277386274037
"HOSP",0.146324555610205,-0.396851776785454,-0.24228803500133,0.291536363365403,0.192602451833184,0.0456776281823669,-0.239906904713717,-0.348000966060953,-0.526691441281073,-0.396752679784107,-0.045530793067973,0.0962631124210991,0.0449350348862648,0.106692748657781
"EUST",0.0894629139852186,-0.323200805572571,0.0730615383255283,0.680734879172861,-0.0431494973833801,-0.0330681072914788,-0.211040932569732,0.4390844005099,0.201494845775879,0.207991977003675,0.0894562427754012,-0.273979981208644,-0.0386885080301543,0.100428142758344
"TUVU",0.121344695424458,0.0437300608636495,0.47939658656067,-0.040322310358332,0.388289207195908,0.651394078582721,-0.0839220340577282,0.130369673372216,-0.225504611981556,0.215958821233121,0.067870810440498,0.197311382778687,-0.102417902398997,0.0357219717887794
"PIWO",0.200113587606394,0.334842453101026,0.0908128719558396,0.352656226943451,0.243598428917002,-0.352474007555423,0.477690688513431,0.280316230370118,-0.169045064040983,-0.197534812165444,-0.119185526695564,0.36246343830333,-0.107532966492896,0.0115533376292913
