"date","Year","week","eBird.DP.RF"
2005-01-03,2005,1,0.1112400833866
2005-01-10,2005,2,0.110685083043979
2005-01-17,2005,3,0.110133256293694
2005-01-24,2005,4,0.111891722151904
2005-01-31,2005,5,0.113324988730388
2005-02-07,2005,6,0.112668259130619
2005-02-14,2005,7,0.121354129785769
2005-02-21,2005,8,0.127175618857517
2005-02-28,2005,9,0.146398195661664
2005-03-07,2005,10,0.202754803547189
2005-03-14,2005,11,0.219529452940723
2005-03-21,2005,12,0.238272093376394
2005-03-28,2005,13,0.251795258552513
2005-04-04,2005,14,0.26819144774527
2005-04-11,2005,15,0.275258040679524
2005-04-18,2005,16,0.277114250511903
2005-04-25,2005,17,0.272214847767561
2005-05-02,2005,18,0.266881796211848
2005-05-09,2005,19,0.255821423487633
2005-05-16,2005,20,0.238512802848608
2005-05-23,2005,21,0.22984985014836
2005-05-30,2005,22,0.219880451599954
2005-06-06,2005,23,0.215038652756419
2005-06-13,2005,24,0.209596776798778
2005-06-20,2005,25,0.204911987002212
2005-06-27,2005,26,0.195205966096345
2005-07-04,2005,27,0.186431041492118
2005-07-11,2005,28,0.172040115975415
2005-07-18,2005,29,0.139987820832101
2005-07-25,2005,30,0.119755340561848
2005-08-01,2005,31,0.0698240483556105
2005-08-08,2005,32,0.0631229439713387
2005-08-15,2005,33,0.0575903427111073
2005-08-22,2005,34,0.0548685647346134
2005-08-29,2005,35,0.0516192398024845
2005-09-05,2005,36,0.0507233598512673
2005-09-12,2005,37,0.0502070763168747
2005-09-19,2005,38,0.0498398705362633
2005-09-26,2005,39,0.0501089801325644
2005-10-03,2005,40,0.0494831378212686
2005-10-10,2005,41,0.0488868557282673
2005-10-17,2005,42,0.0486010299996982
2005-10-24,2005,43,0.0485432540776276
2005-10-31,2005,44,0.0481002404869829
2005-11-07,2005,45,0.0464933452622963
2005-11-14,2005,46,0.0456055607753734
2005-11-21,2005,47,0.0456364606654925
2005-11-28,2005,48,0.0460674530621632
2005-12-05,2005,49,0.0455976465185404
2005-12-12,2005,50,0.0460641250707204
2005-12-19,2005,51,0.046895087530217
2005-12-26,2005,52,0.0479299798636554
2006-01-02,2006,1,0.107781394138077
2006-01-09,2006,2,0.106877568501691
2006-01-16,2006,3,0.106042639289583
2006-01-23,2006,4,0.107862446074147
2006-01-30,2006,5,0.109236519152075
2006-02-06,2006,6,0.109110812978636
2006-02-13,2006,7,0.118206932829456
2006-02-20,2006,8,0.123881673707027
2006-02-27,2006,9,0.143484729870557
2006-03-06,2006,10,0.202246269280772
2006-03-13,2006,11,0.220005201988203
2006-03-20,2006,12,0.236984476132975
2006-03-27,2006,13,0.25127033608183
2006-04-03,2006,14,0.266674334823347
2006-04-10,2006,15,0.274225248110486
2006-04-17,2006,16,0.276168024013893
2006-04-24,2006,17,0.2719293663
2006-05-01,2006,18,0.266101312629618
2006-05-08,2006,19,0.257221325722651
2006-05-15,2006,20,0.239880895628085
2006-05-22,2006,21,0.231967245491049
2006-05-29,2006,22,0.221480623963469
2006-06-05,2006,23,0.215711331878364
2006-06-12,2006,24,0.209532401944945
2006-06-19,2006,25,0.204365980133727
2006-06-26,2006,26,0.193669858030207
2006-07-03,2006,27,0.185947384554906
2006-07-10,2006,28,0.173084218978324
2006-07-17,2006,29,0.138030451356909
2006-07-24,2006,30,0.116756407931577
2006-07-31,2006,31,0.0691466134609968
2006-08-07,2006,32,0.0622779343188373
2006-08-14,2006,33,0.0567867389884672
2006-08-21,2006,34,0.0539881024699386
2006-08-28,2006,35,0.0505599714222222
2006-09-04,2006,36,0.0494717654590357
2006-09-11,2006,37,0.0488611615403687
2006-09-18,2006,38,0.048372157376421
2006-09-25,2006,39,0.0485409102689855
2006-10-02,2006,40,0.0482483503782714
2006-10-09,2006,41,0.0476854788565392
2006-10-16,2006,42,0.047371917593916
2006-10-23,2006,43,0.0473351299154514
2006-10-30,2006,44,0.0468320560714131
2006-11-06,2006,45,0.0455666646703405
2006-11-13,2006,46,0.0449120099103837
2006-11-20,2006,47,0.0450129823982271
2006-11-27,2006,48,0.0455833303729745
2006-12-04,2006,49,0.0451236664954944
2006-12-11,2006,50,0.0456454830101162
2006-12-18,2006,51,0.0464692946428675
2006-12-25,2006,52,0.0474988129714824
2007-01-01,2007,1,0.109832088825048
2007-01-08,2007,2,0.108995094114472
2007-01-15,2007,3,0.108108478995163
2007-01-22,2007,4,0.110336614454676
2007-01-29,2007,5,0.111762230493435
2007-02-05,2007,6,0.111938667335994
2007-02-12,2007,7,0.121756078847741
2007-02-19,2007,8,0.128236492994068
2007-02-26,2007,9,0.15091683677713
2007-03-05,2007,10,0.213791925228066
2007-03-12,2007,11,0.232228391382531
2007-03-19,2007,12,0.246397941220931
2007-03-26,2007,13,0.262533481073326
2007-04-02,2007,14,0.278487252896525
2007-04-09,2007,15,0.286971518807995
2007-04-16,2007,16,0.288785735365722
2007-04-23,2007,17,0.285366426488147
2007-04-30,2007,18,0.280055000907027
2007-05-07,2007,19,0.270570173805345
2007-05-14,2007,20,0.252121295940302
2007-05-21,2007,21,0.243638559853352
2007-05-28,2007,22,0.23417490877096
2007-06-04,2007,23,0.230178524573812
2007-06-11,2007,24,0.224287307813343
2007-06-18,2007,25,0.219218114081362
2007-06-25,2007,26,0.210264304157813
2007-07-02,2007,27,0.200470177839575
2007-07-09,2007,28,0.187029545572789
2007-07-16,2007,29,0.145635783024165
2007-07-23,2007,30,0.122268418688591
2007-07-30,2007,31,0.0713026989748516
2007-08-06,2007,32,0.063844279285497
2007-08-13,2007,33,0.0581923540973315
2007-08-20,2007,34,0.0550867193566809
2007-08-27,2007,35,0.0512291863758763
2007-09-03,2007,36,0.0500348797132039
2007-09-10,2007,37,0.0494411479240188
2007-09-17,2007,38,0.0491202330960758
2007-09-24,2007,39,0.0492760035333764
2007-10-01,2007,40,0.0489718986193331
2007-10-08,2007,41,0.0483579888103451
2007-10-15,2007,42,0.0478750191218043
2007-10-22,2007,43,0.0478673861153412
2007-10-29,2007,44,0.0472802124074257
2007-11-05,2007,45,0.0456364227448913
2007-11-12,2007,46,0.0447924714664169
2007-11-19,2007,47,0.0449778133428283
2007-11-26,2007,48,0.0456607610093176
2007-12-03,2007,49,0.0451673634477927
2007-12-10,2007,50,0.0456417822140349
2007-12-17,2007,51,0.0464705427677709
2007-12-24,2007,52,0.0475023522370476
2007-12-31,2007,53,0.0498705419900841
2008-01-07,2008,1,0.112430958446822
2008-01-14,2008,2,0.111563552151261
2008-01-21,2008,3,0.110598151741638
2008-01-28,2008,4,0.112938412598658
2008-02-04,2008,5,0.114427237203926
2008-02-11,2008,6,0.114688680987107
2008-02-18,2008,7,0.125288780821887
2008-02-25,2008,8,0.132739657855722
2008-03-03,2008,9,0.158940037553184
2008-03-10,2008,10,0.224471926429765
2008-03-17,2008,11,0.246199941529811
2008-03-24,2008,12,0.261408145179292
2008-03-31,2008,13,0.279196590831224
2008-04-07,2008,14,0.29488826984748
2008-04-14,2008,15,0.304010990656282
2008-04-21,2008,16,0.306031524339094
2008-04-28,2008,17,0.303405307799677
2008-05-05,2008,18,0.299291889981645
2008-05-12,2008,19,0.28933617888979
2008-05-19,2008,20,0.273404944283382
2008-05-26,2008,21,0.264679431307492
2008-06-02,2008,22,0.255901840500051
2008-06-09,2008,23,0.252174010017026
2008-06-16,2008,24,0.246155200282177
2008-06-23,2008,25,0.241750571811465
2008-06-30,2008,26,0.230988278576773
2008-07-07,2008,27,0.219755788808663
2008-07-14,2008,28,0.205586392256644
2008-07-21,2008,29,0.160578327816671
2008-07-28,2008,30,0.135829476455355
2008-08-04,2008,31,0.0823916743658617
2008-08-11,2008,32,0.0756897845195912
2008-08-18,2008,33,0.0705965965815891
2008-08-25,2008,34,0.0666618753560295
2008-09-01,2008,35,0.0623795789547427
2008-09-08,2008,36,0.0606429213287448
2008-09-15,2008,37,0.0601895788552003
2008-09-22,2008,38,0.0597150501665292
2008-09-29,2008,39,0.059857504465302
2008-10-06,2008,40,0.0597712103981726
2008-10-13,2008,41,0.0589657353729325
2008-10-20,2008,42,0.0581722661172779
2008-10-27,2008,43,0.0579730862693475
2008-11-03,2008,44,0.0574156998796882
2008-11-10,2008,45,0.0551173856362268
2008-11-17,2008,46,0.054115531352295
2008-11-24,2008,47,0.0542888419986985
2008-12-01,2008,48,0.0552301157053902
2008-12-08,2008,49,0.0543388676721
2008-12-15,2008,50,0.0546014913630985
2008-12-22,2008,51,0.055186546069445
2008-12-29,2008,52,0.0560240694627456
2009-01-05,2009,1,0.115032899777473
2009-01-12,2009,2,0.114028140222511
2009-01-19,2009,3,0.113009811609942
2009-01-26,2009,4,0.11543083468015
2009-02-02,2009,5,0.117430509612202
2009-02-09,2009,6,0.117987206803346
2009-02-16,2009,7,0.130329504774515
2009-02-23,2009,8,0.138445641381823
2009-03-02,2009,9,0.167062646543113
2009-03-09,2009,10,0.238597007463542
2009-03-16,2009,11,0.261592840644422
2009-03-23,2009,12,0.277125984891303
2009-03-30,2009,13,0.297775905617886
2009-04-06,2009,14,0.313703358778571
2009-04-13,2009,15,0.32371573497125
2009-04-20,2009,16,0.325712180761225
2009-04-27,2009,17,0.323138972364552
2009-05-04,2009,18,0.31891422587907
2009-05-11,2009,19,0.308035213288153
2009-05-18,2009,20,0.291364592772545
2009-05-25,2009,21,0.282106323226197
2009-06-01,2009,22,0.273363546090562
2009-06-08,2009,23,0.27023977828199
2009-06-15,2009,24,0.263998810708406
2009-06-22,2009,25,0.25918901866961
2009-06-29,2009,26,0.245247087634773
2009-07-06,2009,27,0.232843328882686
2009-07-13,2009,28,0.21599432269394
2009-07-20,2009,29,0.166466518088828
2009-07-27,2009,30,0.139782221723286
2009-08-03,2009,31,0.0856276577441383
2009-08-10,2009,32,0.0784172623909082
2009-08-17,2009,33,0.0733551667018529
2009-08-24,2009,34,0.0700851359047623
2009-08-31,2009,35,0.066109596018127
2009-09-07,2009,36,0.0641919258563147
2009-09-14,2009,37,0.0635291373588992
2009-09-21,2009,38,0.0629684685345459
2009-09-28,2009,39,0.0631536495411778
2009-10-05,2009,40,0.0630179608473435
2009-10-12,2009,41,0.062323258223997
2009-10-19,2009,42,0.0614135491012236
2009-10-26,2009,43,0.0612477395592257
2009-11-02,2009,44,0.0610170284041115
2009-11-09,2009,45,0.05797120288769
2009-11-16,2009,46,0.0566895079581021
2009-11-23,2009,47,0.0568759518394731
2009-11-30,2009,48,0.058215594009177
2009-12-07,2009,49,0.057136122019368
2009-12-14,2009,50,0.0570655234808759
2009-12-21,2009,51,0.057658981085795
2009-12-28,2009,52,0.0587242734086676
2010-01-04,2010,1,0.115708455579834
2010-01-11,2010,2,0.114650841966514
2010-01-18,2010,3,0.113762547365974
2010-01-25,2010,4,0.11677267358798
2010-02-01,2010,5,0.118776856772432
2010-02-08,2010,6,0.119387718315992
2010-02-15,2010,7,0.132171475947586
2010-02-22,2010,8,0.140119083258058
2010-03-01,2010,9,0.16883820941822
2010-03-08,2010,10,0.239427502306089
2010-03-15,2010,11,0.261644634191801
2010-03-22,2010,12,0.278129931929745
2010-03-29,2010,13,0.297946249041624
2010-04-05,2010,14,0.314557988904714
2010-04-12,2010,15,0.325461960164524
2010-04-19,2010,16,0.328225786836804
2010-04-26,2010,17,0.325808299226018
2010-05-03,2010,18,0.321884320880278
2010-05-10,2010,19,0.311857444944474
2010-05-17,2010,20,0.294373184787624
2010-05-24,2010,21,0.285695202363007
2010-05-31,2010,22,0.276813714249352
2010-06-07,2010,23,0.274194000720345
2010-06-14,2010,24,0.26656154343529
2010-06-21,2010,25,0.262061751365599
2010-06-28,2010,26,0.248167895444869
2010-07-05,2010,27,0.235571298767056
2010-07-12,2010,28,0.218003859179355
2010-07-19,2010,29,0.167961134652141
2010-07-26,2010,30,0.139303590454683
2010-08-02,2010,31,0.0874623338000513
2010-08-09,2010,32,0.0802419310955985
2010-08-16,2010,33,0.0758324194040108
2010-08-23,2010,34,0.0730736524117586
2010-08-30,2010,35,0.0690070054860471
2010-09-06,2010,36,0.0674766741680109
2010-09-13,2010,37,0.0667510199224309
2010-09-20,2010,38,0.0662081111227765
2010-09-27,2010,39,0.0663713725720735
2010-10-04,2010,40,0.0663801448826759
2010-10-11,2010,41,0.0654881979631889
2010-10-18,2010,42,0.0647955659947622
2010-10-25,2010,43,0.0647048412380431
2010-11-01,2010,44,0.0645249160198477
2010-11-08,2010,45,0.0624868089872019
2010-11-15,2010,46,0.0612967156319972
2010-11-22,2010,47,0.0617580536658359
2010-11-29,2010,48,0.06328341062615
2010-12-06,2010,49,0.061931592833
2010-12-13,2010,50,0.0619797318419579
2010-12-20,2010,51,0.0622948026706452
2010-12-27,2010,52,0.0629025598289319
2011-01-03,2011,1,0.113943136493701
2011-01-10,2011,2,0.113231168131612
2011-01-17,2011,3,0.112564251326281
2011-01-24,2011,4,0.115507458289677
2011-01-31,2011,5,0.117611722302791
2011-02-07,2011,6,0.117762436349298
2011-02-14,2011,7,0.130796680169709
2011-02-21,2011,8,0.138899539803958
