"date","Year","week","eBird.DP.RF"
2005-01-03,2005,1,0.149730881537614
2005-01-10,2005,2,0.147587124888054
2005-01-17,2005,3,0.147070181979074
2005-01-24,2005,4,0.145723913650359
2005-01-31,2005,5,0.145930756051854
2005-02-07,2005,6,0.150586598024043
2005-02-14,2005,7,0.168410554563774
2005-02-21,2005,8,0.288354808525104
2005-02-28,2005,9,0.439637390784693
2005-03-07,2005,10,0.472831323185729
2005-03-14,2005,11,0.487675973139293
2005-03-21,2005,12,0.4943020975472
2005-03-28,2005,13,0.497517946470391
2005-04-04,2005,14,0.49726631721848
2005-04-11,2005,15,0.497763849567225
2005-04-18,2005,16,0.493382327799177
2005-04-25,2005,17,0.490163069135584
2005-05-02,2005,18,0.485448269191291
2005-05-09,2005,19,0.475543039338613
2005-05-16,2005,20,0.47212016482736
2005-05-23,2005,21,0.468972764526256
2005-05-30,2005,22,0.471208817562761
2005-06-06,2005,23,0.470152568482338
2005-06-13,2005,24,0.468524927631097
2005-06-20,2005,25,0.46896248343909
2005-06-27,2005,26,0.466067185483383
2005-07-04,2005,27,0.464193408215762
2005-07-11,2005,28,0.462794580770637
2005-07-18,2005,29,0.443408797520997
2005-07-25,2005,30,0.42679173050678
2005-08-01,2005,31,0.417850560777749
2005-08-08,2005,32,0.406814161617972
2005-08-15,2005,33,0.400926523654149
2005-08-22,2005,34,0.394825246834855
2005-08-29,2005,35,0.364331388992321
2005-09-05,2005,36,0.342031419236494
2005-09-12,2005,37,0.240074951400825
2005-09-19,2005,38,0.200405330959249
2005-09-26,2005,39,0.191599487599271
2005-10-03,2005,40,0.187915747969651
2005-10-10,2005,41,0.182295994360349
2005-10-17,2005,42,0.177264836540409
2005-10-24,2005,43,0.174930749324154
2005-10-31,2005,44,0.166882646993434
2005-11-07,2005,45,0.143305957326815
2005-11-14,2005,46,0.121331254223223
2005-11-21,2005,47,0.111496273491623
2005-11-28,2005,48,0.107331100454794
2005-12-05,2005,49,0.104614344605565
2005-12-12,2005,50,0.102013240574395
2005-12-19,2005,51,0.100229915254959
2005-12-26,2005,52,0.0987532564217472
2006-01-02,2006,1,0.148813034628925
2006-01-09,2006,2,0.14662870427073
2006-01-16,2006,3,0.146040192661647
2006-01-23,2006,4,0.144647904030202
2006-01-30,2006,5,0.145107860641574
2006-02-06,2006,6,0.150262231969179
2006-02-13,2006,7,0.16921214550546
2006-02-20,2006,8,0.295934994528195
2006-02-27,2006,9,0.46310604802237
2006-03-06,2006,10,0.499923793384235
2006-03-13,2006,11,0.515775283036703
2006-03-20,2006,12,0.522372536448011
2006-03-27,2006,13,0.526280859384488
2006-04-03,2006,14,0.525158119971291
2006-04-10,2006,15,0.525337355758215
2006-04-17,2006,16,0.521423042989244
2006-04-24,2006,17,0.517852287274785
2006-05-01,2006,18,0.513958437612689
2006-05-08,2006,19,0.503334450726773
2006-05-15,2006,20,0.501120927754694
2006-05-22,2006,21,0.499316428062354
2006-05-29,2006,22,0.500889182893754
2006-06-05,2006,23,0.500904257849519
2006-06-12,2006,24,0.499844500368307
2006-06-19,2006,25,0.499595130875632
2006-06-26,2006,26,0.49612564305714
2006-07-03,2006,27,0.494170720723889
2006-07-10,2006,28,0.491796067105584
2006-07-17,2006,29,0.468051494522289
2006-07-24,2006,30,0.446991529937735
2006-07-31,2006,31,0.436855033811795
2006-08-07,2006,32,0.425058434411296
2006-08-14,2006,33,0.417285297926405
2006-08-21,2006,34,0.409314166887767
2006-08-28,2006,35,0.376806865282398
2006-09-04,2006,36,0.35068504824711
2006-09-11,2006,37,0.236012526161466
2006-09-18,2006,38,0.190270053786594
2006-09-25,2006,39,0.181693370640795
2006-10-02,2006,40,0.178018866452002
2006-10-09,2006,41,0.172808875955142
2006-10-16,2006,42,0.167463019196529
2006-10-23,2006,43,0.166007975153691
2006-10-30,2006,44,0.157855896301536
2006-11-06,2006,45,0.1349900048348
2006-11-13,2006,46,0.117814460232533
2006-11-20,2006,47,0.108589301586585
2006-11-27,2006,48,0.10437252123692
2006-12-04,2006,49,0.101633042083893
2006-12-11,2006,50,0.0989192404600617
2006-12-18,2006,51,0.0970807535267128
2006-12-25,2006,52,0.0955637053936699
2007-01-01,2007,1,0.144195865534267
2007-01-08,2007,2,0.141995244102809
2007-01-15,2007,3,0.141414033316136
2007-01-22,2007,4,0.139924670874526
2007-01-29,2007,5,0.140340986661697
2007-02-05,2007,6,0.145418850142439
2007-02-12,2007,7,0.165920795690998
2007-02-19,2007,8,0.297115295364188
2007-02-26,2007,9,0.468370846376315
2007-03-05,2007,10,0.503223548999183
2007-03-12,2007,11,0.519202321991019
2007-03-19,2007,12,0.526004133095581
2007-03-26,2007,13,0.530581517920416
2007-04-02,2007,14,0.529800708326382
2007-04-09,2007,15,0.529057916527452
2007-04-16,2007,16,0.525406577393221
2007-04-23,2007,17,0.520360930887912
2007-04-30,2007,18,0.516188823912185
2007-05-07,2007,19,0.505689452569582
2007-05-14,2007,20,0.503364691006745
2007-05-21,2007,21,0.50153403679657
2007-05-28,2007,22,0.5019399211302
2007-06-04,2007,23,0.502125926492894
2007-06-11,2007,24,0.501004043354268
2007-06-18,2007,25,0.500903706769985
2007-06-25,2007,26,0.498975227485677
2007-07-02,2007,27,0.497551686141375
2007-07-09,2007,28,0.495059990596093
2007-07-16,2007,29,0.470096157165279
2007-07-23,2007,30,0.449005567938211
2007-07-30,2007,31,0.437623434612621
2007-08-06,2007,32,0.423481365758184
2007-08-13,2007,33,0.413079614824908
2007-08-20,2007,34,0.405541096273693
2007-08-27,2007,35,0.374752869692907
2007-09-03,2007,36,0.347043628433693
2007-09-10,2007,37,0.237283333496623
2007-09-17,2007,38,0.194220137341198
2007-09-24,2007,39,0.185625827805352
2007-10-01,2007,40,0.182012581398072
2007-10-08,2007,41,0.175963378896771
2007-10-15,2007,42,0.170536421405809
2007-10-22,2007,43,0.168345163492231
2007-10-29,2007,44,0.158534672172612
2007-11-05,2007,45,0.131617893555612
2007-11-12,2007,46,0.112903691599824
2007-11-19,2007,47,0.102631658545913
2007-11-26,2007,48,0.0982779194428899
2007-12-03,2007,49,0.0951857111070865
2007-12-10,2007,50,0.0932927906380745
2007-12-17,2007,51,0.091638568928147
2007-12-24,2007,52,0.0906307215979208
2007-12-31,2007,53,0.0915733894797002
2008-01-07,2008,1,0.142182569094659
2008-01-14,2008,2,0.140147329608324
2008-01-21,2008,3,0.139878842397736
2008-01-28,2008,4,0.138328044024606
2008-02-04,2008,5,0.139518048417108
2008-02-11,2008,6,0.144873079453892
2008-02-18,2008,7,0.1687774411453
2008-02-25,2008,8,0.306862723969028
2008-03-03,2008,9,0.47537542764205
2008-03-10,2008,10,0.513493734466713
2008-03-17,2008,11,0.531389842343628
2008-03-24,2008,12,0.538123276862335
2008-03-31,2008,13,0.542455471255403
2008-04-07,2008,14,0.542198663391154
2008-04-14,2008,15,0.541925373169574
2008-04-21,2008,16,0.538721179822789
2008-04-28,2008,17,0.533548485463421
2008-05-05,2008,18,0.528211240322196
2008-05-12,2008,19,0.519217861856762
2008-05-19,2008,20,0.518180059563589
2008-05-26,2008,21,0.517142224173075
2008-06-02,2008,22,0.518310383379845
2008-06-09,2008,23,0.517839301441647
2008-06-16,2008,24,0.515876383247261
2008-06-23,2008,25,0.515226625601867
2008-06-30,2008,26,0.513301564917334
2008-07-07,2008,27,0.512477370268788
2008-07-14,2008,28,0.509220478529779
2008-07-21,2008,29,0.484709356104442
2008-07-28,2008,30,0.463498249083073
2008-08-04,2008,31,0.450679407295817
2008-08-11,2008,32,0.433877721988436
