"date","Year","week","eBird.DP.RF"
2005-01-03,2005,1,0.613064729253308
2005-01-10,2005,2,0.615786713493953
2005-01-17,2005,3,0.615460573781415
2005-01-24,2005,4,0.61802962999277
2005-01-31,2005,5,0.618020216464208
2005-02-07,2005,6,0.617575913760639
2005-02-14,2005,7,0.61449778797248
2005-02-21,2005,8,0.610679857612512
2005-02-28,2005,9,0.592611892617531
2005-03-07,2005,10,0.570885426107006
2005-03-14,2005,11,0.465609758290549
2005-03-21,2005,12,0.460219082908204
2005-03-28,2005,13,0.449950205226859
2005-04-04,2005,14,0.439373390150924
2005-04-11,2005,15,0.429287481249955
2005-04-18,2005,16,0.41739993019329
2005-04-25,2005,17,0.403534814617355
2005-05-02,2005,18,0.388050433615634
2005-05-09,2005,19,0.368048327128141
2005-05-16,2005,20,0.358354121344482
2005-05-23,2005,21,0.34887016166366
2005-05-30,2005,22,0.347299959892693
2005-06-06,2005,23,0.350760923386827
2005-06-13,2005,24,0.355273750105489
2005-06-20,2005,25,0.363835529528766
2005-06-27,2005,26,0.376240699934084
2005-07-04,2005,27,0.389915966954353
2005-07-11,2005,28,0.394239876818841
2005-07-18,2005,29,0.397516450421253
2005-07-25,2005,30,0.402223198341074
2005-08-01,2005,31,0.406272631408038
2005-08-08,2005,32,0.413035681842373
2005-08-15,2005,33,0.415285749101884
2005-08-22,2005,34,0.41777138832919
2005-08-29,2005,35,0.426892658761842
2005-09-05,2005,36,0.431019762943269
2005-09-12,2005,37,0.442540930659632
2005-09-19,2005,38,0.453009730761125
2005-09-26,2005,39,0.471104251903292
2005-10-03,2005,40,0.475976206142529
2005-10-10,2005,41,0.484992115885238
2005-10-17,2005,42,0.488807012469167
2005-10-24,2005,43,0.494942318711838
2005-10-31,2005,44,0.502827646282985
2005-11-07,2005,45,0.514297492756909
2005-11-14,2005,46,0.533385952196668
2005-11-21,2005,47,0.544318385980737
2005-11-28,2005,48,0.544681233317943
2005-12-05,2005,49,0.551281171755145
2005-12-12,2005,50,0.556714353357077
2005-12-19,2005,51,0.557770557720492
2005-12-26,2005,52,0.556593369593863
2006-01-02,2006,1,0.624920127041491
2006-01-09,2006,2,0.62799775134501
2006-01-16,2006,3,0.628081967357582
2006-01-23,2006,4,0.630941640184543
2006-01-30,2006,5,0.630951237162207
2006-02-06,2006,6,0.631024271393129
2006-02-13,2006,7,0.628765397005033
2006-02-20,2006,8,0.624624556780799
2006-02-27,2006,9,0.607069471490173
2006-03-06,2006,10,0.584598707556479
2006-03-13,2006,11,0.480119803087284
2006-03-20,2006,12,0.474525167825033
2006-03-27,2006,13,0.465162802842181
2006-04-03,2006,14,0.455869081663078
2006-04-10,2006,15,0.446360511176985
2006-04-17,2006,16,0.437240595526377
2006-04-24,2006,17,0.422285779399073
2006-05-01,2006,18,0.409581176472848
2006-05-08,2006,19,0.390663933405485
2006-05-15,2006,20,0.380467702419657
2006-05-22,2006,21,0.371789088485446
2006-05-29,2006,22,0.371033995561302
