"date","Year","week","eBird.DP.RF"
2005-01-03,2005,1,0.308669087792774
2005-01-10,2005,2,0.308574631401277
2005-01-17,2005,3,0.307052578585283
2005-01-24,2005,4,0.306610300918448
2005-01-31,2005,5,0.307579473648549
2005-02-07,2005,6,0.306914373105288
2005-02-14,2005,7,0.304257246821742
2005-02-21,2005,8,0.296443695549737
2005-02-28,2005,9,0.288702903078517
2005-03-07,2005,10,0.265263947246918
2005-03-14,2005,11,0.230355584229625
2005-03-21,2005,12,0.201600140711301
2005-03-28,2005,13,0.191573657215706
2005-04-04,2005,14,0.185872858085097
2005-04-11,2005,15,0.17912742124453
2005-04-18,2005,16,0.173998270507003
2005-04-25,2005,17,0.167144086496312
2005-05-02,2005,18,0.160175818062188
2005-05-09,2005,19,0.15621424362764
2005-05-16,2005,20,0.156352667472803
2005-05-23,2005,21,0.155747478476403
2005-05-30,2005,22,0.156999387187618
2005-06-06,2005,23,0.157493376543806
2005-06-13,2005,24,0.157487247540272
2005-06-20,2005,25,0.158773285294843
2005-06-27,2005,26,0.162088087817304
2005-07-04,2005,27,0.163665827990932
2005-07-11,2005,28,0.163532878285526
2005-07-18,2005,29,0.163644008618122
2005-07-25,2005,30,0.164583106004365
2005-08-01,2005,31,0.167551108472474
2005-08-08,2005,32,0.16840577393374
2005-08-15,2005,33,0.168842823164439
2005-08-22,2005,34,0.171494746539197
2005-08-29,2005,35,0.172828759899997
2005-09-05,2005,36,0.172958848684952
2005-09-12,2005,37,0.173820713017757
2005-09-19,2005,38,0.175198389428345
2005-09-26,2005,39,0.176706786065003
2005-10-03,2005,40,0.178298106217201
2005-10-10,2005,41,0.179230858291434
2005-10-17,2005,42,0.17986806855774
2005-10-24,2005,43,0.183448675808607
2005-10-31,2005,44,0.189410800152958
2005-11-07,2005,45,0.197025785733909
2005-11-14,2005,46,0.200131011708493
2005-11-21,2005,47,0.201571780272802
2005-11-28,2005,48,0.204640445048091
2005-12-05,2005,49,0.209141552753282
2005-12-12,2005,50,0.212861398989843
2005-12-19,2005,51,0.214034974684846
2005-12-26,2005,52,0.21598157086367
2006-01-02,2006,1,0.310204914922281
2006-01-09,2006,2,0.310268158843892
2006-01-16,2006,3,0.308827482306812
2006-01-23,2006,4,0.3085657408853
2006-01-30,2006,5,0.309591951727703
2006-02-06,2006,6,0.309085462401013
2006-02-13,2006,7,0.305824283925853
2006-02-20,2006,8,0.298824568703346
2006-02-27,2006,9,0.291433534145586
2006-03-06,2006,10,0.267544248347936
2006-03-13,2006,11,0.235250951505619
2006-03-20,2006,12,0.205940396926999
2006-03-27,2006,13,0.195924696440285
2006-04-03,2006,14,0.190764276116317
2006-04-10,2006,15,0.183431832266573
2006-04-17,2006,16,0.178883847225067
2006-04-24,2006,17,0.17133278419756
2006-05-01,2006,18,0.16534446771348
2006-05-08,2006,19,0.160742078954498
2006-05-15,2006,20,0.161144534276282
2006-05-22,2006,21,0.160865677341971
2006-05-29,2006,22,0.161680958477383
2006-06-05,2006,23,0.16256246160597
2006-06-12,2006,24,0.16311687949915
2006-06-19,2006,25,0.1648551431432
2006-06-26,2006,26,0.168612359906273
2006-07-03,2006,27,0.170393180934909
2006-07-10,2006,28,0.170226147256222
2006-07-17,2006,29,0.170297932414063
2006-07-24,2006,30,0.171727336314296
2006-07-31,2006,31,0.176379792380921
2006-08-07,2006,32,0.177851611150055
2006-08-14,2006,33,0.17953636384373
2006-08-21,2006,34,0.182362772925846
2006-08-28,2006,35,0.183862430353553
2006-09-04,2006,36,0.184388782873925
2006-09-11,2006,37,0.185235496981489
2006-09-18,2006,38,0.186712027193279
2006-09-25,2006,39,0.188268462956749
2006-10-02,2006,40,0.189861044099585
2006-10-09,2006,41,0.190841169698728
2006-10-16,2006,42,0.191621659411324
2006-10-23,2006,43,0.195673579798931
2006-10-30,2006,44,0.199567998306122
2006-11-06,2006,45,0.207936653833852
2006-11-13,2006,46,0.211388779409592
2006-11-20,2006,47,0.212543757948845
2006-11-27,2006,48,0.216020066839425
2006-12-04,2006,49,0.219946918455738
2006-12-11,2006,50,0.223524811339096
2006-12-18,2006,51,0.224635437933123
2006-12-25,2006,52,0.226764674295442
2007-01-01,2007,1,0.329512194163919
2007-01-08,2007,2,0.32983063352755
2007-01-15,2007,3,0.328634222206588
2007-01-22,2007,4,0.327745329980479
2007-01-29,2007,5,0.328546884072278
2007-02-05,2007,6,0.328012328711681
2007-02-12,2007,7,0.324093818036014
2007-02-19,2007,8,0.316810822193867
2007-02-26,2007,9,0.30891893053529
2007-03-05,2007,10,0.285078052294936
2007-03-12,2007,11,0.251726386284239
2007-03-19,2007,12,0.217877189200049
2007-03-26,2007,13,0.205060685488233
2007-04-02,2007,14,0.199102909477905
2007-04-09,2007,15,0.191015684205952
2007-04-16,2007,16,0.186596361418651
2007-04-23,2007,17,0.179029014064945
2007-04-30,2007,18,0.172609017139003
2007-05-07,2007,19,0.167486358910081
2007-05-14,2007,20,0.167860383563243
2007-05-21,2007,21,0.167468509069686
2007-05-28,2007,22,0.168565762420248
2007-06-04,2007,23,0.169190716248863
2007-06-11,2007,24,0.170007523861489
2007-06-18,2007,25,0.171756884585354
2007-06-25,2007,26,0.174978963399131
2007-07-02,2007,27,0.176375067197725
2007-07-09,2007,28,0.176252463054726
2007-07-16,2007,29,0.176599195597036
2007-07-23,2007,30,0.178043018349261
2007-07-30,2007,31,0.182169874959186
2007-08-06,2007,32,0.183732392413196
2007-08-13,2007,33,0.186360224266251
2007-08-20,2007,34,0.19004307155117
2007-08-27,2007,35,0.192174256360115
2007-09-03,2007,36,0.193185777339969
2007-09-10,2007,37,0.193966935461979
2007-09-17,2007,38,0.195792214152468
2007-09-24,2007,39,0.197608139393986
2007-10-01,2007,40,0.199490939408167
2007-10-08,2007,41,0.2000782347005
2007-10-15,2007,42,0.20107933644534
2007-10-22,2007,43,0.205631996921401
2007-10-29,2007,44,0.211820076817655
2007-11-05,2007,45,0.220497806753304
2007-11-12,2007,46,0.223778801389698
2007-11-19,2007,47,0.225321542767206
2007-11-26,2007,48,0.228702441739952
2007-12-03,2007,49,0.232464679790175
2007-12-10,2007,50,0.236190374663673
2007-12-17,2007,51,0.237301535631413
2007-12-24,2007,52,0.239606227251813
2007-12-31,2007,53,0.238940251416157
2008-01-07,2008,1,0.347327863029102
2008-01-14,2008,2,0.347433878711096
2008-01-21,2008,3,0.346522013028619
2008-01-28,2008,4,0.346063492388173
2008-02-04,2008,5,0.347392524466496
2008-02-11,2008,6,0.346657631104076
2008-02-18,2008,7,0.342098606581315
2008-02-25,2008,8,0.333495792518382
2008-03-03,2008,9,0.325840388943501
2008-03-10,2008,10,0.298694089724546
2008-03-17,2008,11,0.267076160397013
2008-03-24,2008,12,0.236867959145982
2008-03-31,2008,13,0.223426260347245
2008-04-07,2008,14,0.215813609004899
2008-04-14,2008,15,0.206961835448764
2008-04-21,2008,16,0.202456697172266
2008-04-28,2008,17,0.195022174488288
2008-05-05,2008,18,0.187655050380673
2008-05-12,2008,19,0.180942694812331
2008-05-19,2008,20,0.180897743576624
2008-05-26,2008,21,0.180580622712814
2008-06-02,2008,22,0.181190485865517
2008-06-09,2008,23,0.181815234587001
2008-06-16,2008,24,0.182786219616443
2008-06-23,2008,25,0.184683036941916
2008-06-30,2008,26,0.187536249590895
2008-07-07,2008,27,0.188705786189131
2008-07-14,2008,28,0.188754174590812
2008-07-21,2008,29,0.188572091359696
2008-07-28,2008,30,0.190408474751982
2008-08-04,2008,31,0.19445264979429
2008-08-11,2008,32,0.196192326033913
2008-08-18,2008,33,0.198056229727161
2008-08-25,2008,34,0.20217868962912
2008-09-01,2008,35,0.204341538310041
2008-09-08,2008,36,0.205678047614847
2008-09-15,2008,37,0.206118501655462
2008-09-22,2008,38,0.208202178887615
2008-09-29,2008,39,0.210811548045648
2008-10-06,2008,40,0.213172858322941
2008-10-13,2008,41,0.213111940106269
2008-10-20,2008,42,0.21453459745362
2008-10-27,2008,43,0.219577978647897
2008-11-03,2008,44,0.226547239791632
2008-11-10,2008,45,0.233236910348016
2008-11-17,2008,46,0.23739429383889
2008-11-24,2008,47,0.239941662565474
2008-12-01,2008,48,0.243731225625132
2008-12-08,2008,49,0.247879507796539
2008-12-15,2008,50,0.251169345891642
2008-12-22,2008,51,0.252159768913809
2008-12-29,2008,52,0.253847557329122
2009-01-05,2009,1,0.353874888921656
2009-01-12,2009,2,0.354192694651553
2009-01-19,2009,3,0.352970350866549
2009-01-26,2009,4,0.352386169517912
2009-02-02,2009,5,0.353678078787682
2009-02-09,2009,6,0.35318536351914
2009-02-16,2009,7,0.34833671227593
2009-02-23,2009,8,0.33944923567206
2009-03-02,2009,9,0.331564188827299
2009-03-09,2009,10,0.304861348605974
2009-03-16,2009,11,0.27435077978831
2009-03-23,2009,12,0.242528667457169
2009-03-30,2009,13,0.229056063014451
2009-04-06,2009,14,0.221373028304282
2009-04-13,2009,15,0.211760970987767
2009-04-20,2009,16,0.206961484025034
2009-04-27,2009,17,0.198596239636635
2009-05-04,2009,18,0.191293973522849
2009-05-11,2009,19,0.184760684051023
2009-05-18,2009,20,0.184540105178115
2009-05-25,2009,21,0.184402433344232
2009-06-01,2009,22,0.185219226416045
2009-06-08,2009,23,0.185901198833972
2009-06-15,2009,24,0.186845362896047
2009-06-22,2009,25,0.189096709921021
2009-06-29,2009,26,0.191874727129273
2009-07-06,2009,27,0.19300920462908
2009-07-13,2009,28,0.19302189030325
2009-07-20,2009,29,0.193082516963051
2009-07-27,2009,30,0.19534395007008
2009-08-03,2009,31,0.19952898350823
2009-08-10,2009,32,0.201454387683687
2009-08-17,2009,33,0.203750628413605
2009-08-24,2009,34,0.207240067865933
2009-08-31,2009,35,0.209500431583935
2009-09-07,2009,36,0.210823262324867
2009-09-14,2009,37,0.211327904014266
2009-09-21,2009,38,0.21381065414854
2009-09-28,2009,39,0.216442187838507
2009-10-05,2009,40,0.218678888242384
2009-10-12,2009,41,0.218627952909087
2009-10-19,2009,42,0.220383692584369
2009-10-26,2009,43,0.225222801928975
2009-11-02,2009,44,0.233048783876305
2009-11-09,2009,45,0.240936247672205
2009-11-16,2009,46,0.245696437502573
2009-11-23,2009,47,0.247771605046185
2009-11-30,2009,48,0.252447688902799
2009-12-07,2009,49,0.256324289757729
2009-12-14,2009,50,0.259558348436805
2009-12-21,2009,51,0.260693700164169
2009-12-28,2009,52,0.261670244941445
2010-01-04,2010,1,0.370174846313743
2010-01-11,2010,2,0.371377028933907
2010-01-18,2010,3,0.370444883119019
2010-01-25,2010,4,0.370255035776978
2010-02-01,2010,5,0.371711405826494
2010-02-08,2010,6,0.370893516979503
2010-02-15,2010,7,0.365694625920062
2010-02-22,2010,8,0.356962485782803
2010-03-01,2010,9,0.348958676629763
2010-03-08,2010,10,0.32434318059821
2010-03-15,2010,11,0.294272348096857
2010-03-22,2010,12,0.258098365481684
2010-03-29,2010,13,0.244008791376009
2010-04-05,2010,14,0.236975384530163
2010-04-12,2010,15,0.225753686047886
2010-04-19,2010,16,0.219675943997214
2010-04-26,2010,17,0.211063468302439
2010-05-03,2010,18,0.204289174858161
2010-05-10,2010,19,0.196548908911271
2010-05-17,2010,20,0.196327172650053
2010-05-24,2010,21,0.195321789710771
2010-05-31,2010,22,0.19584241681461
2010-06-07,2010,23,0.19634768296788
2010-06-14,2010,24,0.197179645185184
2010-06-21,2010,25,0.199875180413984
2010-06-28,2010,26,0.202555854330097
2010-07-05,2010,27,0.203307123661263
2010-07-12,2010,28,0.203415609248395
2010-07-19,2010,29,0.203267402523365
2010-07-26,2010,30,0.205139610985157
2010-08-02,2010,31,0.208818804558743
2010-08-09,2010,32,0.210956372188729
2010-08-16,2010,33,0.213961664206185
2010-08-23,2010,34,0.217192193382912
2010-08-30,2010,35,0.21901166206916
2010-09-06,2010,36,0.220934282095215
2010-09-13,2010,37,0.222073355520448
2010-09-20,2010,38,0.224229341888508
2010-09-27,2010,39,0.22727194158916
2010-10-04,2010,40,0.229140677966934
2010-10-11,2010,41,0.228963170676225
2010-10-18,2010,42,0.230764857950985
2010-10-25,2010,43,0.23516526145845
2010-11-01,2010,44,0.243868638334581
