"date","Year","week","eBird.DP.RF"
2005-01-03,2005,1,0.669442360258106
2005-01-10,2005,2,0.673773959807835
2005-01-17,2005,3,0.673413973126184
2005-01-24,2005,4,0.67500861672566
2005-01-31,2005,5,0.676280587309494
2005-02-07,2005,6,0.67979762899771
2005-02-14,2005,7,0.682018108139092
2005-02-21,2005,8,0.685681352090254
2005-02-28,2005,9,0.687403686596039
2005-03-07,2005,10,0.687931181299138
2005-03-14,2005,11,0.683145582927772
2005-03-21,2005,12,0.678736945706424
2005-03-28,2005,13,0.675962800578495
2005-04-04,2005,14,0.670324585547006
2005-04-11,2005,15,0.659486995708175
2005-04-18,2005,16,0.649383432383724
2005-04-25,2005,17,0.64789534142634
2005-05-02,2005,18,0.641274513820547
2005-05-09,2005,19,0.633837585402091
2005-05-16,2005,20,0.631382308603359
2005-05-23,2005,21,0.632511114266754
2005-05-30,2005,22,0.633489582652233
2005-06-06,2005,23,0.637806977276508
2005-06-13,2005,24,0.64138466348722
2005-06-20,2005,25,0.649702173488103
2005-06-27,2005,26,0.65518792637259
2005-07-04,2005,27,0.661312873877986
2005-07-11,2005,28,0.661718334660089
2005-07-18,2005,29,0.659233507214854
2005-07-25,2005,30,0.662412827373315
2005-08-01,2005,31,0.662530507733348
2005-08-08,2005,32,0.661986950205781
2005-08-15,2005,33,0.660903264034877
2005-08-22,2005,34,0.658540581919082
2005-08-29,2005,35,0.651506618814718
2005-09-05,2005,36,0.638861976222444
2005-09-12,2005,37,0.615340754791728
2005-09-19,2005,38,0.617579166255313
2005-09-26,2005,39,0.61630206541027
2005-10-03,2005,40,0.613853850992988
2005-10-10,2005,41,0.610937905271323
2005-10-17,2005,42,0.607955120883367
2005-10-24,2005,43,0.608801824961527
2005-10-31,2005,44,0.607141980014505
2005-11-07,2005,45,0.606252647776082
2005-11-14,2005,46,0.612540803108967
2005-11-21,2005,47,0.613538348531761
2005-11-28,2005,48,0.615086793318521
2005-12-05,2005,49,0.626182022994739
2005-12-12,2005,50,0.636148019405386
2005-12-19,2005,51,0.636829239943436
2005-12-26,2005,52,0.635106223398709
2006-01-02,2006,1,0.67117027633962
2006-01-09,2006,2,0.6716456799518
2006-01-16,2006,3,0.670886125862404
2006-01-23,2006,4,0.67261976614978
2006-01-30,2006,5,0.674102921895054
2006-02-06,2006,6,0.677019589007269
2006-02-13,2006,7,0.679301422384439
2006-02-20,2006,8,0.682358291009854
2006-02-27,2006,9,0.683430976867768
2006-03-06,2006,10,0.683509390977633
2006-03-13,2006,11,0.678746293157756
2006-03-20,2006,12,0.674284773981911
2006-03-27,2006,13,0.67061710540564
2006-04-03,2006,14,0.663127345319289
2006-04-10,2006,15,0.651637710792851
2006-04-17,2006,16,0.636393304890502
2006-04-24,2006,17,0.633605248484378
2006-05-01,2006,18,0.624339959431239
2006-05-08,2006,19,0.615205000992597
2006-05-15,2006,20,0.613767048836478
2006-05-22,2006,21,0.614246925143941
2006-05-29,2006,22,0.616701327158122
2006-06-05,2006,23,0.621462140500762
2006-06-12,2006,24,0.623988123887687
2006-06-19,2006,25,0.632831465863709
2006-06-26,2006,26,0.640768619582621
2006-07-03,2006,27,0.645246131520565
2006-07-10,2006,28,0.645770310715125
2006-07-17,2006,29,0.64329004660827
2006-07-24,2006,30,0.646903171315569
2006-07-31,2006,31,0.646515095167498
2006-08-07,2006,32,0.645323801611326
2006-08-14,2006,33,0.644055036847974
2006-08-21,2006,34,0.642803030907256
2006-08-28,2006,35,0.634998360355476
2006-09-04,2006,36,0.625262110911801
2006-09-11,2006,37,0.602683954612702
2006-09-18,2006,38,0.607328271068117
2006-09-25,2006,39,0.609695068641655
2006-10-02,2006,40,0.611238501088374
2006-10-09,2006,41,0.610090165053765
2006-10-16,2006,42,0.607662060806674
2006-10-23,2006,43,0.610725125868228
2006-10-30,2006,44,0.611052126374386
2006-11-06,2006,45,0.609353628191033
2006-11-13,2006,46,0.616764180737624
2006-11-20,2006,47,0.618167507883831
2006-11-27,2006,48,0.61923799209033
2006-12-04,2006,49,0.631639141057905
2006-12-11,2006,50,0.64124854247995
2006-12-18,2006,51,0.641722679578242
2006-12-25,2006,52,0.642548539768476
2007-01-01,2007,1,0.68318219901516
2007-01-08,2007,2,0.682920758507275
2007-01-15,2007,3,0.682673475327164
2007-01-22,2007,4,0.683974223275875
2007-01-29,2007,5,0.684979025697197
2007-02-05,2007,6,0.686076042625667
2007-02-12,2007,7,0.68838038791472
2007-02-19,2007,8,0.690192308561023
2007-02-26,2007,9,0.690833982478946
2007-03-05,2007,10,0.690628993651482
2007-03-12,2007,11,0.685070198804298
2007-03-19,2007,12,0.68061229628276
2007-03-26,2007,13,0.675948108202422
2007-04-02,2007,14,0.665481630161326
2007-04-09,2007,15,0.653435323574515
2007-04-16,2007,16,0.637479890117499
2007-04-23,2007,17,0.634731405220914
2007-04-30,2007,18,0.626194241375963
2007-05-07,2007,19,0.619698634749305
2007-05-14,2007,20,0.61840954563048
2007-05-21,2007,21,0.617681783268114
2007-05-28,2007,22,0.620250733134764
2007-06-04,2007,23,0.625753706216947
2007-06-11,2007,24,0.629858002709952
2007-06-18,2007,25,0.637869340723382
2007-06-25,2007,26,0.645419026105228
2007-07-02,2007,27,0.649439812783526
2007-07-09,2007,28,0.648278709564269
2007-07-16,2007,29,0.645682383363319
2007-07-23,2007,30,0.649408218636082
2007-07-30,2007,31,0.648777474615829
2007-08-06,2007,32,0.647509165420245
2007-08-13,2007,33,0.646778402247993
2007-08-20,2007,34,0.646100393074008
2007-08-27,2007,35,0.636475312644276
2007-09-03,2007,36,0.627227875819411
2007-09-10,2007,37,0.606462799524714
2007-09-17,2007,38,0.611508158627412
2007-09-24,2007,39,0.615250545275774
2007-10-01,2007,40,0.617490170804924
2007-10-08,2007,41,0.616505712612467
2007-10-15,2007,42,0.614007270839406
2007-10-22,2007,43,0.617000580536891
2007-10-29,2007,44,0.617093883970489
