"date","Year","week","eBird.DP.RF"
2005-01-03,2005,1,0.0051629340954877
2005-01-10,2005,2,0.0051629340954877
2005-01-17,2005,3,0.0051629340954877
2005-01-24,2005,4,0.0051629340954877
2005-01-31,2005,5,0.0051629340954877
2005-02-07,2005,6,0.0051629340954877
2005-02-14,2005,7,0.00516919184266891
2005-02-21,2005,8,0.00521567775285765
2005-02-28,2005,9,0.00528125950056318
2005-03-07,2005,10,0.00534371862922348
2005-03-14,2005,11,0.00680574236192037
2005-03-21,2005,12,0.0328080397440043
2005-03-28,2005,13,0.0554551294895608
2005-04-04,2005,14,0.0706501431521235
2005-04-11,2005,15,0.0728305733577855
2005-04-18,2005,16,0.0727943034735141
2005-04-25,2005,17,0.0711352618298399
2005-05-02,2005,18,0.07045315892539
2005-05-09,2005,19,0.0687771935399399
2005-05-16,2005,20,0.0682090039944219
2005-05-23,2005,21,0.0672644101422961
2005-05-30,2005,22,0.0676684411370959
2005-06-06,2005,23,0.0675355165217697
2005-06-13,2005,24,0.067586715430077
2005-06-20,2005,25,0.0680467138988931
2005-06-27,2005,26,0.0685556212241153
2005-07-04,2005,27,0.0691322607680205
2005-07-11,2005,28,0.0710063881527929
2005-07-18,2005,29,0.0712558327843495
2005-07-25,2005,30,0.0739682344509738
2005-08-01,2005,31,0.0743273297875277
2005-08-08,2005,32,0.0745340291626927
2005-08-15,2005,33,0.0758831780630891
2005-08-22,2005,34,0.0788923846861642
2005-08-29,2005,35,0.0801108339265284
2005-09-05,2005,36,0.0815214292599533
2005-09-12,2005,37,0.081295989292092
2005-09-19,2005,38,0.0807022847212226
2005-09-26,2005,39,0.0796034694504841
2005-10-03,2005,40,0.0734803032410854
2005-10-10,2005,41,0.0676733209029862
2005-10-17,2005,42,0.0549438830899422
2005-10-24,2005,43,0.0452655927272863
2005-10-31,2005,44,0.0396207242825747
2005-11-07,2005,45,0.0364894118007666
2005-11-14,2005,46,0.025445974513703
2005-11-21,2005,47,0.0245093776024478
2005-11-28,2005,48,0.0213983418590255
2005-12-05,2005,49,0.0208658042189894
2005-12-12,2005,50,0.0207576560406087
2005-12-19,2005,51,0.0207422451551372
2005-12-26,2005,52,0.0207951489635953
2006-01-02,2006,1,0.00516580495718121
2006-01-09,2006,2,0.00516580495718121
2006-01-16,2006,3,0.00516580495718121
2006-01-23,2006,4,0.00516580495718121
2006-01-30,2006,5,0.00516580495718121
2006-02-06,2006,6,0.00516580495718121
2006-02-13,2006,7,0.00517204937619746
2006-02-20,2006,8,0.00521875636744091
2006-02-27,2006,9,0.00528464612568952
2006-03-06,2006,10,0.00534993947137513
2006-03-13,2006,11,0.00682024970894279
2006-03-20,2006,12,0.0333713222876086
2006-03-27,2006,13,0.0566611686973769
2006-04-03,2006,14,0.0728970416998586
2006-04-10,2006,15,0.0752627529395339
2006-04-17,2006,16,0.0753857332915633
2006-04-24,2006,17,0.0736706061478114
2006-05-01,2006,18,0.0728901486905321
2006-05-08,2006,19,0.0709127610415375
2006-05-15,2006,20,0.0703078851236635
2006-05-22,2006,21,0.0693718676281407
2006-05-29,2006,22,0.0697626905014245
2006-06-05,2006,23,0.0696348767947557
2006-06-12,2006,24,0.0696366099142383
2006-06-19,2006,25,0.070098310526704
2006-06-26,2006,26,0.0705794330112615
2006-07-03,2006,27,0.0711993264283498
2006-07-10,2006,28,0.0730159324559275
2006-07-17,2006,29,0.0733170923859483
2006-07-24,2006,30,0.0760389291517918
2006-07-31,2006,31,0.0764396831686936
2006-08-07,2006,32,0.0766583035883474
2006-08-14,2006,33,0.0781712633178024
2006-08-21,2006,34,0.0813357231905615
2006-08-28,2006,35,0.0826184862311265
2006-09-04,2006,36,0.0840334803018644
2006-09-11,2006,37,0.0835860093504575
2006-09-18,2006,38,0.0827286961350015
2006-09-25,2006,39,0.0813480789995337
2006-10-02,2006,40,0.0749255426666678
2006-10-09,2006,41,0.0688947161535282
2006-10-16,2006,42,0.0549704044141656
2006-10-23,2006,43,0.0452497011656615
2006-10-30,2006,44,0.0396006726132839
2006-11-06,2006,45,0.036301038004976
2006-11-13,2006,46,0.0253050873455761
2006-11-20,2006,47,0.0243587408848125
2006-11-27,2006,48,0.0212352306075753
2006-12-04,2006,49,0.0207028884093886
2006-12-11,2006,50,0.0205947228458414
2006-12-18,2006,51,0.0205793226750873
2006-12-25,2006,52,0.020632988986708
2007-01-01,2007,1,0.00501117803467925
2007-01-08,2007,2,0.00501117803467925
2007-01-15,2007,3,0.00501117803467925
2007-01-22,2007,4,0.00501117803467925
2007-01-29,2007,5,0.00501117803467925
2007-02-05,2007,6,0.00501117803467925
2007-02-12,2007,7,0.0050174337182457
2007-02-19,2007,8,0.00506934259449214
2007-02-26,2007,9,0.00513750072001238
2007-03-05,2007,10,0.00520403121094048
2007-03-12,2007,11,0.00668969075261707
2007-03-19,2007,12,0.034434483860794
2007-03-26,2007,13,0.0588831697653991
2007-04-02,2007,14,0.076194272198683
2007-04-09,2007,15,0.0790547264775868
2007-04-16,2007,16,0.0792961406387639
2007-04-23,2007,17,0.0777645115442752
2007-04-30,2007,18,0.0769026623754194
2007-05-07,2007,19,0.0747580797627945
2007-05-14,2007,20,0.0742938937234398
2007-05-21,2007,21,0.0730904967282374
2007-05-28,2007,22,0.0733647236088379
2007-06-04,2007,23,0.0733373945047715
2007-06-11,2007,24,0.073384708815103
2007-06-18,2007,25,0.0739445906789757
2007-06-25,2007,26,0.07448519507421
2007-07-02,2007,27,0.075164556291256
2007-07-09,2007,28,0.0770857002444979
2007-07-16,2007,29,0.0774384330709301
2007-07-23,2007,30,0.0797868308868355
2007-07-30,2007,31,0.0803536851308583
2007-08-06,2007,32,0.0805023188520325
2007-08-13,2007,33,0.0818969021564672
2007-08-20,2007,34,0.0849065742412236
2007-08-27,2007,35,0.0859716879584862
2007-09-03,2007,36,0.0868991249219753
2007-09-10,2007,37,0.0859145506525205
2007-09-17,2007,38,0.0848113023723248
2007-09-24,2007,39,0.0834890457284896
2007-10-01,2007,40,0.076330175485184
2007-10-08,2007,41,0.0694654425148594
2007-10-15,2007,42,0.0547354535585467
2007-10-22,2007,43,0.044508253449003
2007-10-29,2007,44,0.038354181950142
2007-11-05,2007,45,0.034775372120731
2007-11-12,2007,46,0.0242493198046239
2007-11-19,2007,47,0.0234046656689996
2007-11-26,2007,48,0.020415039659601
2007-12-03,2007,49,0.0198904930247074
2007-12-10,2007,50,0.0197827302310638
2007-12-17,2007,51,0.0197673944818553
2007-12-24,2007,52,0.0198206679907109
2007-12-31,2007,53,0.0199622835742759
2008-01-07,2008,1,0.00494518215629952
2008-01-14,2008,2,0.00494518215629952
2008-01-21,2008,3,0.00494518215629952
2008-01-28,2008,4,0.00494518215629952
2008-02-04,2008,5,0.00494518215629952
2008-02-11,2008,6,0.00494518215629952
2008-02-18,2008,7,0.00495079950153725
2008-02-25,2008,8,0.00500019748525769
2008-03-03,2008,9,0.0050656413941233
2008-03-10,2008,10,0.00513773198679975
2008-03-17,2008,11,0.00675115371065229
2008-03-24,2008,12,0.0356749847940178
2008-03-31,2008,13,0.0617048442639522
2008-04-07,2008,14,0.0800027738510228
2008-04-14,2008,15,0.0835107187831927
2008-04-21,2008,16,0.0837304879489949
2008-04-28,2008,17,0.0828257129541338
2008-05-05,2008,18,0.0820673146964697
2008-05-12,2008,19,0.0799115825339495
2008-05-19,2008,20,0.0795443266777978
2008-05-26,2008,21,0.0785656764752152
2008-06-02,2008,22,0.0788202155405103
2008-06-09,2008,23,0.0788546525130955
2008-06-16,2008,24,0.0789046952205824
2008-06-23,2008,25,0.0795464259592106
2008-06-30,2008,26,0.0799016468980719
2008-07-07,2008,27,0.0807304791723084
2008-07-14,2008,28,0.0825396728987491
2008-07-21,2008,29,0.0827291286633612
2008-07-28,2008,30,0.0848590151716639
2008-08-04,2008,31,0.0854974354376402
2008-08-11,2008,32,0.0856798093037483
2008-08-18,2008,33,0.0872471721814803
2008-08-25,2008,34,0.0901919867176136
2008-09-01,2008,35,0.0908504741800859
2008-09-08,2008,36,0.0917575844263282
2008-09-15,2008,37,0.0897319548838572
2008-09-22,2008,38,0.0878222097335731
2008-09-29,2008,39,0.0862216294806359
2008-10-06,2008,40,0.0791970063079595
2008-10-13,2008,41,0.0715727148492962
2008-10-20,2008,42,0.0561358730583732
2008-10-27,2008,43,0.0452480250122019
2008-11-03,2008,44,0.0387404285282759
2008-11-10,2008,45,0.0349537124133744
2008-11-17,2008,46,0.0245235776410558
2008-11-24,2008,47,0.0236301495600767
2008-12-01,2008,48,0.0206085777157287
2008-12-08,2008,49,0.0200860399407243
2008-12-15,2008,50,0.0199694582510805
2008-12-22,2008,51,0.0199535769162532
2008-12-29,2008,52,0.02000739407299
2009-01-05,2009,1,0.00478423315709895
2009-01-12,2009,2,0.00478423315709895
2009-01-19,2009,3,0.00478423315709895
2009-01-26,2009,4,0.00478423315709895
2009-02-02,2009,5,0.00478423315709895
2009-02-09,2009,6,0.00478423315709895
2009-02-16,2009,7,0.00478975915034564
2009-02-23,2009,8,0.00483881594371666
2009-03-02,2009,9,0.00490353456246432
2009-03-09,2009,10,0.00497824042903905
2009-03-16,2009,11,0.0066087270173942
2009-03-23,2009,12,0.0364793027659274
2009-03-30,2009,13,0.0647383357690166
2009-04-06,2009,14,0.0848719530441578
2009-04-13,2009,15,0.0885212913092806
2009-04-20,2009,16,0.0888148009326737
2009-04-27,2009,17,0.087828862691229
2009-05-04,2009,18,0.0868163645214375
2009-05-11,2009,19,0.0842696067142715
2009-05-18,2009,20,0.0840394347429263
2009-05-25,2009,21,0.0831949434991089
2009-06-01,2009,22,0.0835530239794573
2009-06-08,2009,23,0.0835364710439768
2009-06-15,2009,24,0.0835161758102764
2009-06-22,2009,25,0.0841045118241538
2009-06-29,2009,26,0.0842755787594791
2009-07-06,2009,27,0.0848631395129777
2009-07-13,2009,28,0.0865874610087767
2009-07-20,2009,29,0.0867262143619291
2009-07-27,2009,30,0.0885893354454947
2009-08-03,2009,31,0.0892344529976973
2009-08-10,2009,32,0.0894891816858287
2009-08-17,2009,33,0.0911630568336098
2009-08-24,2009,34,0.094041620484785
2009-08-31,2009,35,0.0945537058200936
2009-09-07,2009,36,0.0952342114238333
2009-09-14,2009,37,0.0924924565049636
2009-09-21,2009,38,0.0903603504141128
2009-09-28,2009,39,0.0880442449474504
2009-10-05,2009,40,0.0803780602034991
2009-10-12,2009,41,0.0725989057271544
2009-10-19,2009,42,0.0563526746738231
2009-10-26,2009,43,0.0447622940211786
2009-11-02,2009,44,0.0384909595357056
2009-11-09,2009,45,0.0347398052848044
2009-11-16,2009,46,0.0244908237725799
2009-11-23,2009,47,0.0234935421674551
2009-11-30,2009,48,0.0204068241766295
2009-12-07,2009,49,0.0197925346386979
2009-12-14,2009,50,0.0196763787780883
2009-12-21,2009,51,0.0196605573877127
2009-12-28,2009,52,0.0197146354757993
2010-01-04,2010,1,0.00457628300194294
2010-01-11,2010,2,0.00457628300194294
2010-01-18,2010,3,0.00457628300194294
2010-01-25,2010,4,0.00457628300194294
2010-02-01,2010,5,0.00457628300194294
2010-02-08,2010,6,0.00457628300194294
2010-02-15,2010,7,0.00458180185436911
2010-02-22,2010,8,0.00463165617774835
2010-03-01,2010,9,0.00470253945632963
2010-03-08,2010,10,0.0047719325012664
2010-03-15,2010,11,0.00643549538138688
2010-03-22,2010,12,0.0373462624510787
2010-03-29,2010,13,0.0677642610290366
2010-04-05,2010,14,0.0901121199321517
2010-04-12,2010,15,0.0937042802444101
2010-04-19,2010,16,0.0939714054296285
2010-04-26,2010,17,0.092237822291436
2010-05-03,2010,18,0.0912094366192342
2010-05-10,2010,19,0.0876988087515197
2010-05-17,2010,20,0.0869928716115181
2010-05-24,2010,21,0.0860325975174273
2010-05-31,2010,22,0.086069487291137
2010-06-07,2010,23,0.0861252139300894
2010-06-14,2010,24,0.0860623717462045
2010-06-21,2010,25,0.0865717642878073
2010-06-28,2010,26,0.0866750911371977
2010-07-05,2010,27,0.087088476437451
2010-07-12,2010,28,0.0884082837933747
2010-07-19,2010,29,0.0885022172052787
2010-07-26,2010,30,0.0906192616600613
2010-08-02,2010,31,0.0913952080600903
2010-08-09,2010,32,0.0918004226669182
2010-08-16,2010,33,0.0935727036010931
2010-08-23,2010,34,0.0966226676304831
2010-08-30,2010,35,0.0974503318680312
2010-09-06,2010,36,0.0982941017182152
2010-09-13,2010,37,0.0955027624722811
2010-09-20,2010,38,0.0934682429465585
2010-09-27,2010,39,0.0908049716742062
2010-10-04,2010,40,0.0832083740743165
2010-10-11,2010,41,0.0750002610349848
2010-10-18,2010,42,0.0580909281356659
2010-10-25,2010,43,0.0458612657246574
2010-11-01,2010,44,0.0393607823957332
2010-11-08,2010,45,0.0354385112729906
2010-11-15,2010,46,0.0250343499856412
2010-11-22,2010,47,0.023986759820602
2010-11-29,2010,48,0.0207106308468661
2010-12-06,2010,49,0.0200921950491379
2010-12-13,2010,50,0.0199757909865964
2010-12-20,2010,51,0.0199599106057892
2010-12-27,2010,52,0.0200138799214336
2011-01-03,2011,1,0.00432445125931868
2011-01-10,2011,2,0.00432445125931868
2011-01-17,2011,3,0.00432445125931868
2011-01-24,2011,4,0.00432445125931868
2011-01-31,2011,5,0.00432445125931868
2011-02-07,2011,6,0.00432445125931868
2011-02-14,2011,7,0.0043328428257297
2011-02-21,2011,8,0.00437282954980922
2011-02-28,2011,9,0.00445298905182217
2011-03-07,2011,10,0.00452672640932365
2011-03-14,2011,11,0.00622471778665601
2011-03-21,2011,12,0.0364204748012315
2011-03-28,2011,13,0.0673505924980645
2011-04-04,2011,14,0.0910133895371552
2011-04-11,2011,15,0.0947238439365887
2011-04-18,2011,16,0.0949482096980028
2011-04-25,2011,17,0.092692522239016
2011-05-02,2011,18,0.0912689556736712
2011-05-09,2011,19,0.0870299025031316
2011-05-16,2011,20,0.0861442335475186
2011-05-23,2011,21,0.0853387691576637
2011-05-30,2011,22,0.0851219776814875
2011-06-06,2011,23,0.085196982743088
2011-06-13,2011,24,0.0852119691657827
2011-06-20,2011,25,0.0857102367116419
2011-06-27,2011,26,0.0857464589100087
2011-07-04,2011,27,0.0861898729059502
2011-07-11,2011,28,0.0874182743669753
2011-07-18,2011,29,0.0877860036076817
2011-07-25,2011,30,0.090119024628211
2011-08-01,2011,31,0.0905881049392541
2011-08-08,2011,32,0.0908055492703696
2011-08-15,2011,33,0.0923071852911049
2011-08-22,2011,34,0.0954699763710549
2011-08-29,2011,35,0.0963954191743391
2011-09-05,2011,36,0.0975400880099031
2011-09-12,2011,37,0.0947372678492239
2011-09-19,2011,38,0.0928285132734937
2011-09-26,2011,39,0.0900153140556546
2011-10-03,2011,40,0.0830853935039729
2011-10-10,2011,41,0.0751489168316321
2011-10-17,2011,42,0.0590018015195989
2011-10-24,2011,43,0.0468761421543405
2011-10-31,2011,44,0.0401742299406311
2011-11-07,2011,45,0.0360214808206606
2011-11-14,2011,46,0.0248414047040128
2011-11-21,2011,47,0.0237601295648139
2011-11-28,2011,48,0.0203072608156387
2011-12-05,2011,49,0.0197118221867233
2011-12-12,2011,50,0.019601465794135
2011-12-19,2011,51,0.0195802708637987
2011-12-26,2011,52,0.0196367366552507
