actual_city_town,week,year,blackbirds_cow,blackbirds_grackle,blackbirds_redwinged,pigeons_dove,pigeons_pigeon,raptors_osprey,raptors_redtailed,sparrows,starlings,vultures,woodpeckers_downy,woodpeckers_hairy,woodpeckers_pileated,woodpeckers_redbellied,woodpeckers_flicker,blackbirds,raptors,woodpeckers,urban,date_time_out,count,COH_avg,st_COH_avg,weighted_count,weighted_COH_avg
ABINGTON,0,2016,0.085749088,0.112408496,0.194513265,0.652044589,0.2518325,0.001289805,0.278453163,0.618137251,0.430931986,0.015381614,0.741113382,0.386970986,0.147068052,0.619945847,0.399669169,0.39079595,0.295119058,2.07664065,1.654154712,1/1/2016,1,22.68,113.0539224,0.021276596,0.613825875
ABINGTON,10,2017,0.18110843,0.538018365,0.58412078,0.692832538,0.2349108,0.001353095,0.243924591,0.627341764,0.443372747,0.03187647,0.718243484,0.366719702,0.163797608,0.639454084,0.433264774,1.246331044,0.277143636,2.084707954,1.7021586,3/5/2017,1,7.33,102.6904209,0.055555556,0.060037221
ABINGTON,15,2013,0.372293327,0.568849927,0.609089306,0.677932039,0.2369736,0.090008472,0.197914728,0.578977568,0.378775181,0.037815364,0.621410509,0.28567657,0.134483583,0.477726964,0.452630088,1.421240216,0.325064921,1.799057819,1.615857947,4/16/2013,1,6.003,93.40894776,0.04,0.052894138
ABINGTON,19,2013,0.352843945,0.573985454,0.583152134,0.671541347,0.239841,0.080019821,0.185891234,0.575593869,0.368697095,0.029964214,0.552264186,0.266622836,0.130193103,0.427768155,0.396804935,1.391877311,0.295429552,1.618466459,1.605099512,5/14/2013,4,214.73025,85.16696567,0.551724138,62.63871037
ABINGTON,21,2017,0.362050467,0.577558039,0.578196007,0.680095968,0.2337192,0.084421868,0.183323122,0.57484212,0.374365951,0.028368495,0.546311717,0.285298508,0.155049134,0.481062056,0.407418785,1.396900745,0.29567444,1.68954311,1.629539271,5/21/2017,1,41.922,77.92193715,0.01754386,1.616848121
ABINGTON,23,2016,0.343316307,0.588325239,0.566178734,0.680096416,0.2370772,0.08267351,0.17887415,0.579852009,0.360017964,0.023984577,0.587973353,0.294814459,0.141117777,0.487634349,0.407493031,1.383462565,0.28517755,1.743470611,1.624949928,6/10/2016,2,10.25,71.6313248,0.037735849,0.028436505
ABINGTON,25,2013,0.31609318,0.591920378,0.568563083,0.67777002,0.2436243,0.078322272,0.181343702,0.580951916,0.356731874,0.027318091,0.603029173,0.284005771,0.12063727,0.410518715,0.400818777,1.370197354,0.286596059,1.670192078,1.611411074,6/25/2013,2,633.0135,66.25259119,0.05,94.93535543
ABINGTON,25,2016,0.328899975,0.590105101,0.560478786,0.683989893,0.2386334,0.082989544,0.177054135,0.583419568,0.353424857,0.024542866,0.614201268,0.300953898,0.138711015,0.48513718,0.411955254,1.370703027,0.284225921,1.775305184,1.631544788,6/24/2016,1,1.566,61.7431989,0.005847953,0.000958156
ABINGTON,26,2013,0.306147822,0.586049622,0.568715817,0.679234029,0.245517,0.078235835,0.180785472,0.580023793,0.356605419,0.027421711,0.605017308,0.282997628,0.121157899,0.409706665,0.402521306,1.358875511,0.286055168,1.6720063,1.614213505,7/2/2013,1,101.234,58.06061049,0.014084507,6.315508995
ABINGTON,27,2015,0.30873005,0.576189958,0.563146895,0.680424443,0.2510928,0.083090263,0.182241745,0.591297585,0.358821419,0.027703269,0.613944274,0.299106714,0.13761352,0.464697679,0.419849773,1.347890305,0.29261578,1.761770689,1.646526217,7/9/2015,1,9.064,55.16228856,0.012195122,0.045542626
ABINGTON,27,2016,0.307054089,0.578990667,0.555900444,0.683917092,0.2400112,0.083061302,0.177441302,0.585744464,0.352572532,0.024585489,0.628655466,0.302157558,0.136872413,0.476071837,0.424952302,1.343116412,0.28472574,1.793408185,1.633385072,7/8/2016,1,47.25,53.00569567,0.007092199,0.835232837
ABINGTON,28,2015,0.284139434,0.566660707,0.550445514,0.682624185,0.2524582,0.082980828,0.182768964,0.589640723,0.358643142,0.027712063,0.617036747,0.298036292,0.137015341,0.45777027,0.420260122,1.312618064,0.293041565,1.757724398,1.647815609,7/16/2015,1,14.128,51.54829441,0.011904762,0.074033783
ABINGTON,28,2016,0.290086382,0.570865674,0.545073755,0.685367071,0.2408009,0.083305417,0.17733717,0.585023546,0.352226923,0.024659656,0.633750687,0.301433115,0.136544931,0.470295309,0.427029573,1.315761402,0.284937943,1.794143437,1.634552962,7/15/2016,2,9.1745,50.74754735,0.051282051,0.035205927
ABINGTON,29,2016,0.252863844,0.569925947,0.527497369,0.686790378,0.240534,0.084011297,0.178243484,0.585677949,0.351883019,0.024593747,0.635834317,0.303319839,0.136084077,0.470435352,0.430402097,1.27426758,0.286480249,1.800941778,1.63592001,7/22/2016,1,10.672,50.56091706,0.015625,0.059728547
ABINGTON,30,2015,0.215860914,0.552621916,0.50802856,0.686788056,0.2539712,0.083872695,0.184038142,0.590416476,0.360689935,0.02681407,0.62306701,0.30194492,0.136749953,0.460160084,0.426012076,1.215908931,0.294311011,1.774303883,1.65384276,7/30/2015,1,6.534,50.94586613,0.018518519,0.040490666
ABINGTON,32,2013,0.156985083,0.545609185,0.316421139,0.693708569,0.2525315,0.081980062,0.18389268,0.572108323,0.353338474,0.026307639,0.634373448,0.292188718,0.119476868,0.402694293,0.421995732,0.991913145,0.291783779,1.719753539,1.625850833,8/13/2013,1,4.868,51.85985712,0.025,0.051233759
ABINGTON,37,2015,0.094877005,0.443439001,0.204902061,0.672587708,0.2597549,0.093988838,0.192306039,0.56673161,0.362234882,0.026618539,0.678297074,0.34137063,0.137986508,0.490601261,0.437766147,0.734597394,0.312432296,1.898305287,1.623398334,9/17/2015,1,5.949,53.26035263,0.027777778,0.062130494
ABINGTON,38,2013,0.097209963,0.417461739,0.209087273,0.672650618,0.254317,0.089970282,0.194552847,0.557600734,0.362420017,0.02766919,0.68595461,0.322874236,0.11714136,0.434013187,0.427248937,0.715273913,0.311707998,1.829022107,1.590535973,9/24/2013,1,1.585,55.10481522,0.023809524,0.001373325
ABINGTON,38,2017,0.092205818,0.458731502,0.204175379,0.680141355,0.2436499,0.098941855,0.193200202,0.557921362,0.369132958,0.026631784,0.673827978,0.343357153,0.150544206,0.498885205,0.441300141,0.746476548,0.318264758,1.906433891,1.618338001,9/17/2017,1,104.55,57.35070747,0.020833333,7.956823721
ABINGTON,40,2016,0.092778067,0.415243852,0.205791428,0.679120126,0.2456393,0.087944951,0.197545848,0.565281701,0.363427774,0.0246806,0.711299777,0.350260987,0.138572371,0.526516025,0.426588119,0.705885125,0.309742619,1.958706572,1.615546193,10/7/2016,1,10.038,59.95549196,0.025641026,0.065403836
ABINGTON,42,2015,0.097935413,0.396405558,0.226813013,0.679946185,0.2585636,0.059274737,0.21225677,0.574366705,0.367820203,0.027491668,0.723866935,0.357498309,0.133362817,0.522414611,0.417385375,0.712348617,0.29867729,1.964738449,1.63277246,10/22/2015,1,6.65,62.87663126,0.015151515,0.022207636
ABINGTON,42,2016,0.093159274,0.409142335,0.215514969,0.685933008,0.2457228,0.064629684,0.210854906,0.566089259,0.367164119,0.023745392,0.725287388,0.361416553,0.136032015,0.533547814,0.416960092,0.709602137,0.298906393,1.978896079,1.620797724,10/21/2016,1,6.3,66.07158796,0.038461538,0.078948546
ABINGTON,42,2017,0.09436372,0.415843143,0.22306401,0.679235473,0.2430468,0.080645284,0.208089186,0.566537133,0.377706452,0.027096659,0.705866189,0.352938697,0.14842315,0.525332505,0.429344318,0.724517729,0.315376409,1.95729137,1.623360931,10/15/2017,1,117.142,69.49782462,0.009090909,3.407670876
ABINGTON,43,2013,0.09366899,0.364881639,0.228043738,0.676148308,0.2559505,0.038293393,0.21323738,0.563346451,0.368590044,0.029896107,0.721277099,0.337547986,0.116856637,0.469557087,0.4055858,0.678800267,0.281182761,1.887600992,1.60090919,10/29/2013,1,11.745,73.11280383,0.013333333,0.082889297
ABINGTON,43,2016,0.089714976,0.369448582,0.217971329,0.68598421,0.2467064,0.040854285,0.213633649,0.567718814,0.36957588,0.024158179,0.722356779,0.36256815,0.13615467,0.537478866,0.412952949,0.669910212,0.278435264,1.977226337,1.623482509,10/28/2016,1,2.165,76.87398816,0.027027027,0.005419557
ABINGTON,44,2018,0.088352145,0.288852666,0.236866155,0.682685336,0.2493911,0.032409207,0.239864022,0.563464617,0.379471733,0.032620438,0.70568415,0.378178165,0.1548568,0.532657681,0.420806676,0.608025963,0.304640082,1.977507882,1.635541971,11/5/2018,1,4.3,80.73884019,0.010752688,0.009702268
ABINGTON,47,2016,0.076301986,0.124630662,0.172917065,0.695408126,0.2483504,0.023269691,0.24515602,0.57933921,0.385151799,0.015408618,0.731125729,0.397952383,0.139505139,0.562498554,0.406942138,0.372205347,0.283746427,2.031918342,1.648644729,11/25/2016,1,1.101,83.80781336,0.02,0.001144218
ABINGTON,50,2013,0.073463649,0.104136958,0.15205221,0.697657821,0.2595527,0.019914487,0.249907487,0.575700557,0.396740493,0.014278459,0.745886675,0.371817386,0.124311495,0.493422687,0.377575953,0.328489574,0.284029371,1.937034186,1.644263439,12/17/2013,8,668.031375,85.44918492,3.2,406.3778802
ABINGTON,50,2018,0.079012018,0.122539914,0.175353244,0.702861012,0.2532379,0.022857326,0.26533022,0.575468994,0.404353739,0.016862817,0.728787439,0.404750221,0.1585908,0.552177809,0.396562092,0.375207384,0.304948093,2.017685653,1.673914515,12/17/2018,1,6.085,85.56709318,0.024390244,0.033121252
ABINGTON,51,2016,0.070575377,0.104037475,0.150899762,0.701651353,0.2547234,0.02132102,0.264244408,0.583565617,0.396531291,0.01248623,0.743845444,0.400270014,0.143192327,0.555435336,0.383429717,0.324404635,0.29798131,2.019570907,1.668197888,12/23/2016,2,1.375,91.23771931,0.166666667,0.006602243
ACTON,0,2016,0.072285201,0.101355803,0.193655198,0.663579561,0.2544018,0.000726461,0.276418107,0.57440573,0.434764241,0.022142914,0.75594888,0.433358058,0.19228571,0.648366764,0.385435822,0.365877382,0.299283036,2.141241911,1.666027089,1/1/2016,1,21.021,92.37211615,0.021276596,0.527309791
ACTON,1,2017,0.074114342,0.100919469,0.198008131,0.660816077,0.2541527,0.000598281,0.282032537,0.572926313,0.444539836,0.026781762,0.746286289,0.431926604,0.202724542,0.648342718,0.386890721,0.371560924,0.309408061,2.132591056,1.671113083,1/1/2017,1,56.265,92.2025522,0.019230769,1.005673522
ACTON,2,2014,0.066250635,0.066315782,0.160019888,0.694760278,0.2555696,0.000384227,0.267794599,0.586276696,0.463604861,0.019349272,0.778717923,0.462727297,0.154129164,0.641317517,0.392747058,0.291883263,0.287526107,2.184750453,1.674691036,1/15/2014,2,13.1195,111.3302475,0.210526316,0.201792949
ACTON,10,2016,0.231556347,0.526163868,0.582090907,0.70961761,0.2416692,0.000702114,0.243556955,0.57016223,0.430723856,0.047673448,0.696809513,0.389123777,0.213318377,0.656048972,0.409984438,1.268891155,0.291924365,2.079036824,1.713909429,3/11/2016,1,759.88,109.7762705,0.025641026,231.2638961
ACTON,10,2018,0.229564849,0.518586242,0.574302207,0.703687432,0.2409013,0.000661142,0.256198961,0.565618616,0.446197275,0.054519424,0.681086082,0.383143561,0.2296421,0.653523389,0.424141549,1.254083096,0.311370292,2.069561746,1.717830623,3/12/2018,1,3.089,113.6837687,0.045454545,0.006395891
ACTON,11,2014,0.287850956,0.546326313,0.594689353,0.720360503,0.2491073,0.001378599,0.238975035,0.550352591,0.423010465,0.046780152,0.696749619,0.377511434,0.16521937,0.59781586,0.402273351,1.335345446,0.287118375,2.011095165,1.668722839,3/19/2014,1,11.94,115.2026444,0.5,4.574624567
ACTON,14,2013,0.360957718,0.555286627,0.605090593,0.707868654,0.2480756,0.081013559,0.213381596,0.520148415,0.384779407,0.045411615,0.645120202,0.33326967,0.154862701,0.503737354,0.419137178,1.400053609,0.339021749,1.85587058,1.616810113,4/9/2013,1,38.626,115.3973896,0.047619048,0.852232389
ACTON,14,2014,0.366133657,0.549749593,0.598195607,0.708528887,0.2477531,0.083091596,0.21568314,0.521841406,0.387106933,0.046318214,0.648891226,0.333796488,0.168988543,0.542961469,0.421849382,1.393672952,0.34426286,1.897887324,1.631631882,4/9/2014,1,311.199,115.9912617,0.142857143,74.99745808
ACTON,15,2017,0.380501809,0.544361033,0.593106728,0.69577639,0.2403639,0.086994501,0.227886609,0.532309374,0.403964037,0.052227996,0.631443329,0.337575605,0.231651726,0.589572571,0.425654207,1.395119161,0.366073691,1.930752381,1.679479019,4/9/2017,1,30.35,114.3570057,0.027027027,0.396392078
ACTON,15,2018,0.379900382,0.530765933,0.582231771,0.6940493,0.2396798,0.09008753,0.228076341,0.526999894,0.403427204,0.054552674,0.623871113,0.329992512,0.2361938,0.574018552,0.445256003,1.375497931,0.371595661,1.92052014,1.676216577,4/16/2018,1,1.276,113.4649912,0.022727273,0.001005543
ACTON,18,2013,0.356873821,0.560212868,0.591163238,0.702577774,0.2498276,0.073510299,0.189920906,0.516340856,0.375668911,0.036330193,0.579112103,0.297387705,0.152921398,0.460694256,0.388394678,1.390061436,0.299254186,1.694773064,1.607808383,5/7/2013,1,3.466,101.3163126,0.038461538,0.008694142
