city,date,actual_city_town,week,year,blackbirds_cow,blackbirds_grackle,blackbirds_redwinged,pigeons_dove,pigeons_pigeon,raptors_osprey,raptors_redtailed,sparrows,starlings,vultures,woodpeckers_downy,woodpeckers_hairy,woodpeckers_pileated,woodpeckers_redbellied,woodpeckers_flicker,blackbirds,raptors,woodpeckers,urban,date_time_out,count,COH_avg,st_COH_avg,weighted_count,weighted_COH_avg
ABINGTON,4/16/2013,ABINGTON,15,2013,0.000641195,0.012520764,-0.021848463,0.011335873,0.03571785,0.082178509,0.050292325,0.027865896,0.042255567,0.078992412,0.004070288,0.001117097,0.025537961,-0.011810026,0.00087635,-0.003620959,0.061926114,-0.001249623,0.021259048,4/16/2013,1,6.003,93.40894776,0.04,0.052894138
ABINGTON,5/14/2013,ABINGTON,19,2013,0.002340474,0.011544363,-0.023882909,0.012334296,0.034457893,0.087478775,0.062568473,0.028236121,0.04100387,0.069705154,-0.006293698,0.00509031,0.030036978,-0.003756679,-0.009469808,-0.004052856,0.069702683,-0.004422028,0.02202237,5/14/2013,4,214.73025,85.16696567,0.551724138,62.63871037
ABINGTON,6/25/2013,ABINGTON,25,2013,-0.00391676,0.015152525,-0.02289645,0.019790759,0.03906415,0.093790576,0.067519228,0.024118781,0.031414472,0.060875345,-0.004295002,0.016130733,0.024314484,-0.006416225,-0.010124034,-0.003230967,0.073725204,-0.002808677,0.02395375,6/25/2013,2,633.0135,66.25259119,0.05,94.93535543
ABINGTON,7/2/2013,ABINGTON,26,2013,0.007208299,0.014956142,-0.020836091,0.020500726,0.04453302,0.09224165,0.065259787,0.022207097,0.028385131,0.060536789,-0.005281871,0.018404982,0.024908796,-0.002911761,-0.008248398,-0.001010236,0.07184524,-0.00160719,0.024389574,7/2/2013,1,101.234,58.06061049,0.014084507,6.315508995
ABINGTON,8/13/2013,ABINGTON,32,2013,0.019683877,0.01987326,0.007164832,0.015745077,0.041856731,0.069625316,0.062327107,0.02191181,0.027499439,0.07311789,-0.000745158,0.006630737,0.027977277,0.00712418,0.004394278,0.015028913,0.065148265,0.00326969,0.022138474,8/13/2013,1,4.868,51.85985712,0.025,0.051233759
ABINGTON,9/24/2013,ABINGTON,38,2013,0.048764461,0.008907123,0.016347774,0.005988932,0.047080021,0.07037677,0.052694165,0.01504923,0.028811106,0.054265593,-0.003416721,0.007204951,0.029627931,0.02129308,0.012441335,0.015581028,0.057690379,0.007024089,0.016652968,9/24/2013,1,1.585,55.10481522,0.023809524,0.001373325
ABINGTON,10/29/2013,ABINGTON,43,2013,0.044084722,0.00357508,0.02621756,0.001371768,0.05087049,-0.008381608,0.055567311,0.014808765,0.024068363,0.10480747,0.002818776,0.02190729,0.045065799,0.020816549,0.02826861,0.015764905,0.051236596,0.014362246,0.01611647,10/29/2013,1,11.745,73.11280383,0.013333333,0.082889297
ABINGTON,12/17/2013,ABINGTON,50,2013,0.087464301,0.032572251,0.033184488,-0.000845774,0.035656044,0.072274255,0.037728056,0.014621485,0.014112351,0.056378112,0.00266787,0.026923344,0.041617115,0.043781242,0.04108402,0.044240197,0.040972895,0.022076355,0.012624561,12/17/2013,8,668.031375,85.44918492,3.2,406.3778802
ABINGTON,7/9/2015,ABINGTON,27,2015,0.022500173,-0.002429716,-0.005930344,0.006270274,0.010763674,0.045369675,-0.003002037,0.013661684,0.012821684,0.006897859,0.001562647,0.037961811,0.126662451,0.044054218,0.003575486,0.000483052,0.011152672,0.01736157,0.017563744,7/9/2015,1,9.064,55.16228856,0.012195122,0.045542626
ABINGTON,7/16/2015,ABINGTON,28,2015,0.020703765,-0.002854072,-0.005745786,0.006247152,0.010101487,0.045448804,-0.003017531,0.014188936,0.012913119,0.006937595,0.00110301,0.038311797,0.127202691,0.045956506,0.000891986,-6.51E-05,0.011128928,0.016950175,0.01762096,7/16/2015,1,14.128,51.54829441,0.011904762,0.074033783
