"actual_city_town","week","year","ncoh","zscore"
"Abington",1,2016,0.00355527834087011,-0.104135082299399
"Abington",10,2017,0.00113831280212069,-0.123407726795012
"Abington",15,2013,0.000940277561203805,-0.124986840247233
"Abington",19,2013,0.134922813036021,0.943376664911785
"Abington",21,2017,0.00652112895680649,-0.0804856824086548
"Abington",23,2016,0.00319663184157181,-0.106994894063264
"Abington",25,2016,0.000243255886480586,-0.130544822240483
"Abington",26,2013,0.196868860127865,1.43732832635223
"Abington",27,2013,0.0157399033213785,-0.00697608611313304
"Abington",27,2015,0.00140963667550288,-0.121244217025827
"Abington",27,2016,0.0073678465616716,-0.0737340398530952
"Abington",28,2015,0.00219554030874786,-0.114977499073705
"Abington",28,2016,0.00285981599875253,-0.109680630328459
"Abington",29,2016,0.00167160455325121,-0.119155311041786
"Abington",30,2015,0.00101980352409169,-0.124352708073506
"Abington",33,2013,0.000760954311554655,-0.126416746129165
"Abington",38,2015,0.000926243567753002,-0.125098745924949
"Abington",38,2017,0.0163028223920162,-0.00248742504028405
"Abington",39,2013,0.000249493216903165,-0.13049508638372
"Abington",41,2016,0.00157180726648994,-0.119951084749992
"Abington",42,2017,0.0182317168251988,0.0128933886636335
"Abington",43,2015,0.00103695618275378,-0.124215934467408
"Abington",43,2016,0.00131763605176984,-0.121977820913079
"Abington",44,2013,0.0018244191486044,-0.117936782551096
"Abington",45,2018,0.000670513020427257,-0.127137916052227
"Abington",48,2016,0.000173085919226571,-0.131104350629066
"Abington",51,2016,0.000314985186340246,-0.12997285988771
"Abington",51,2018,0.000951192889443318,-0.124899802497898
"Abington",52,2016,0.000113831280212069,-0.131576841268313
"Acton",1,2016,0.00238559130040779,-0.113462051236499
"Acton",1,2017,0.00639216130493883,-0.0815140577272227
"Acton",3,2014,0.00297122791119166,-0.108792242742211
"Acton",10,2016,0.0862256456728591,0.555070261908975
"Acton",11,2018,0.000350022655188038,-0.129693474571576
"Acton",12,2014,0.00135251472587222,-0.121699701810561
"Acton",14,2013,0.00438944268237426,-0.0974835382260634
"Acton",14,2014,0.0351823742637064,0.148056256955207
"Acton",15,2017,0.00345491617580426,-0.104935360291416
"Acton",16,2018,0.000144993203443589,-0.131328359170156
"Acton",19,2013,0.00039193475305845,-0.129359271642584
"Acton",21,2014,0.00726891708201178,-0.0745228937531827
"Acton",22,2014,0.000220888083371092,-0.130723180893334
"Acton",22,2017,0.00550521069324875,-0.088586514305612
"Acton",22,2018,0.130300181241504,0.906516255534197
"Acton",24,2013,0.00849796103307657,-0.0647226186732946
"Acton",24,2015,0.00847983688264613,-0.0648671388588045
"Acton",24,2016,0.0567002718622565,0.319637847201801
"Acton",27,2018,0.00554825555052107,-0.0882432788650261
"Acton",28,2017,5.21069324875397e-05,-0.132069025120894
"Acton",29,2014,0.00269143633892161,-0.111023273106019
"Acton",29,2015,0.0066028545536928,-0.0798340105706705
"Acton",29,2018,0.00030584503851382,-0.130045742523756
"Acton",31,2018,0.00415949252378795,-0.0993171380797199
"Acton",32,2015,0.000197100135931128,-0.130912863636815
"Acton",32,2018,0.00682147711826008,-0.0780907358329577
"Acton",34,2018,0.000192569098323516,-0.130948993683193
"Acton",36,2014,0.0132102401449932,-0.0271473704407282
"Acton",37,2013,0.00307770729497055,-0.10794318665234
"Acton",37,2018,0.00016425011327594,-0.131174806473052
"Acton",39,2014,0.00781603987313095,-0.0701601906531035
"Acton",41,2017,0.000897145446307204,-0.125330771471497
"Acton",44,2015,0.00672859084730403,-0.0788314017836958
"Acton",44,2017,0.0461338921613049,0.235382579049546
"Acton",44,2018,0.00186905301314001,-0.11758087652353
"Acton",45,2015,0.00740371545083824,-0.0734480248734531
"Acton",45,2017,9.17535115541459e-05,-0.131752887215092
"Acton",48,2017,0.00389669234254644,-0.101412680769613
"Acton",52,2014,0.000124603534209334,-0.131490944378855
"Acushnet",1,2015,0.00123426314490249,-0.122642628238156
"Acushnet",10,2018,0.00150086398420143,-0.120516779476283
"Acushnet",15,2013,0.0155517156257714,-0.00847667621164123
"Acushnet",18,2018,0.00236731671192298,-0.113607771000196
"Acushnet",22,2018,0.00307331523080721,-0.107978208538199
"Acushnet",23,2018,0.00543075783757097,-0.0891801940234881
"Acushnet",24,2018,0.106810664033572,0.7192131652484
"Acushnet",25,2017,0.000172796840286349,-0.131106655715984
"Acushnet",26,2015,0.000540607257467292,-0.128173771775993
"Acushnet",27,2014,0.0051987163663293,-0.091030469797711
"Acushnet",28,2013,0.00116267588249815,-0.123213457998289
"Acushnet",28,2017,0.0157640088866946,-0.00678387071607565
"Acushnet",30,2014,0.00357936312021723,-0.103943032647606
"Acushnet",30,2015,0.00197482103184399,-0.116737492788509
"Acushnet",32,2014,0.00187607998025179,-0.117524844181795
"Acushnet",34,2013,0.00378178227598124,-0.10232896229137
"Acushnet",34,2015,0.000348062206862503,-0.129709106992901
"Acushnet",36,2013,0.00545544310046902,-0.0889833561751666
"Acushnet",36,2018,0.000301160207356208,-0.130083098904712
"Acushnet",39,2014,0.00151814366823007,-0.120378992982458
"Acushnet",43,2017,0.0028239940755369,-0.109966270806247
"Acushnet",44,2014,0.0134584053320168,-0.025168525749311
"Acushnet",45,2018,0.00466057763515181,-0.0953215348911214
"Acushnet",46,2014,0.00394470501110837,-0.101029832492447
"Acushnet",46,2018,0.00111577388299185,-0.1235874499101
"Acushnet",50,2015,0.0174080473957048,0.00632552998214142
"Acushnet",51,2018,0.000182670945445569,-0.131027920576656
"Acushnet",52,2018,0.00102196988397926,-0.124335433733722
"Adams",14,2018,0.000297650130548303,-0.130111087910507
"Adams",24,2018,0.00672062663185379,-0.0788949076511143
"Adams",25,2017,0.000326370757180157,-0.129882072470323
"Adams",25,2018,0.000234986945169713,-0.130610757961818
"Adams",26,2016,0.00756657963446475,-0.0721493619584138
"Adams",26,2017,0.00921148825065274,-0.0590330231114961
"Adams",29,2016,0.00360313315926893,-0.103753492703844
"Adams",29,2018,0.000681462140992167,-0.127050608846226
"Adams",30,2018,0.0091644908616188,-0.0594077756499794
"Adams",33,2016,0.000608355091383812,-0.127633557239423
"Adams",45,2018,0.00118798955613577,-0.123011609264795
"Adams",50,2015,0.00506527415143603,-0.0920945248399172
"Agawam",1,2018,0.00635873684210526,-0.0817805810927075
"Agawam",5,2017,0.000345263157894737,-0.129731426332923
"Agawam",10,2018,0.001792,-0.118195289640207
"Agawam",14,2017,0.000374736842105263,-0.129496406085982
"Agawam",15,2017,0.000697263157894737,-0.126924613098025
"Agawam",16,2018,0.000410947368421053,-0.129207666925454
"Agawam",17,2017,0.00374231578947368,-0.102643664156893
"Agawam",18,2014,0.024336,0.061568339813066
"Agawam",19,2014,0.00372042105263158,-0.10281825062605
"Agawam",19,2018,0.00107789473684211,-0.123889494480383
"Agawam",21,2017,0.000313263157894737,-0.12998659117246
"Agawam",22,2017,0.00400505263157895,-0.100548626527017
"Agawam",23,2018,0.00294568421052632,-0.108995925688506
"Agawam",24,2017,0.00173221052631579,-0.118672044998287
"Agawam",24,2018,0.00183326315789474,-0.117866261294489
"Agawam",25,2017,0.000298105263157895,-0.130107458728029
"Agawam",26,2017,0.0043258947368421,-0.0979902632674563
"Agawam",26,2018,0.00977010526315789,-0.0545786662253059
"Agawam",27,2014,0.00160336842105263,-0.119699419220631
"Agawam",27,2017,0.00616505263157895,-0.0833249998583215
"Agawam",28,2014,0.00261473684210526,-0.111634867318446
"Agawam",28,2018,0.002672,-0.11117825655296
"Agawam",29,2018,0.0032,-0.106968036700612
"Agawam",31,2014,0.00324631578947368,-0.106598719169705
"Agawam",32,2017,0.000502736842105263,-0.128475746727837
"Agawam",32,2018,0.000439578947368421,-0.128979361542711
"Agawam",33,2017,0.00312252631578947,-0.107585804206858
"Agawam",34,2018,0.000218105263157895,-0.13074537082687
"Agawam",37,2017,0.00162105263157895,-0.119558407072466
"Agawam",39,2017,0.005632,-0.0875755088958592
"Agawam",39,2018,0.000673684210526316,-0.127112629295578
"Agawam",42,2017,0.00422568421052632,-0.0987893321070566
"Agawam",42,2018,0.000512,-0.128401883221656
"Agawam",43,2014,0.00185263157894737,-0.117711819417927
"Agawam",43,2018,0.00203957894736842,-0.1162211195659
"Agawam",44,2018,0.00112,-0.123553751270467
"Agawam",45,2017,0.000464842105263158,-0.128777915616762
"Agawam",47,2017,0.00917810526315789,-0.0592992157567261
"Agawam",48,2017,0.00531789473684211,-0.0900801532418332
"Agawam",49,2017,0.00346863157894737,-0.104825995021348
"Agawam",51,2017,8e-05,-0.131846608555395
"Agawam",51,2018,0.0051098947368421,-0.0917387246988187
"Amesbury",2,2018,0.00316084700603001,-0.107280238807604
"Amesbury",5,2018,0.00164072360117796,-0.119401552703677
"Amesbury",10,2015,0.00976020193521245,-0.0546576343842457
"Amesbury",23,2017,0.000987238816435283,-0.124612375836121
"Amesbury",29,2018,0.00161968868321414,-0.119569283062017
"Amesbury",33,2013,0.000639461506100126,-0.127385517760684
